Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Liam Delap,19,eng ENG,FW,21-332,87,9,8,1,0,0,0,0,0,0,0,0,0,7,0,0
Ali Al Hamadi,16,iq IRQ,FW,22-310,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Nathan Broadhead,33,wls WAL,LM,26-275,79,20,20,0,0,1,0,0,0,0,0,0,0,18,0,0
Jack Clarke,47,eng ENG,LM,24-043,11,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Jens Cajuste,12,se SWE,CM,25-148,72,26,23,3,1,0,0,1,2,0,0,0,0,21,0,0
Kalvin Phillips,8,eng ENG,CM,29-034,18,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0
Sam Morsy,5,eg EGY,CM,33-117,90,34,30,3,3,0,0,0,0,0,0,0,0,31,1,0
Sammie Szmodics,23,ie IRL,RM,29-103,72,16,14,2,0,0,0,1,0,1,1,0,0,10,0,1
Jack Taylor,14,ie IRL,RM,26-196,18,8,7,1,0,0,0,0,0,0,0,0,0,5,0,0
Leif Davis,3,eng ENG,LB,24-359,90,27,24,3,0,0,0,5,2,1,1,0,0,18,0,1
Jacob Greaves,24,eng ENG,CB,24-115,90,24,24,0,0,0,0,0,0,0,0,0,0,15,0,1
Luke Woolfenden,6,eng ENG,CB,26-076,90,28,27,1,1,0,0,0,0,0,0,0,0,26,0,0
Dara O'Shea,26,ie IRL,CB,25-307,90,32,24,8,1,0,0,0,7,0,0,0,0,20,0,1
Ben Johnson,18,eng ENG,RB,24-347,79,15,15,0,0,0,1,0,0,0,0,0,0,13,0,0
Wes Burns,7,wls WAL,RB,30-043,11,8,8,0,0,0,0,0,0,0,0,0,0,3,0,0
Christian Walton,28,eng ENG,GK,29-057,90,28,19,9,2,0,0,0,0,0,0,0,0,14,0,0
