Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Liam Delap,19,eng ENG,FW,21-352,78,15,2,3,5,7,2,15,2,1,50.0,1,50.0,7,94,15,0,3,1,5,3,12,1
George Hirst,27,sct SCO,FW,25-345,12,4,0,1,1,2,1,4,0,0,,0,,2,10,2,0,0,0,1,0,3,1
Jaden Philogene Bidace,29,eng ENG,LW,22-352,78,25,0,9,8,8,2,25,2,0,0.0,2,100.0,13,125,33,3,1,2,1,3,15,1
Nathan Broadhead,33,wls WAL,LW,26-295,12,13,1,4,7,3,0,13,3,3,100.0,0,0.0,9,120,63,2,0,0,0,0,10,0
Wes Burns,7,wls WAL,RW,30-063,28,6,0,2,2,2,0,6,1,0,0.0,0,0.0,3,16,8,0,0,0,0,0,4,1
Ben Johnson,18,eng ENG,RW,25-001,62,13,2,4,6,3,0,13,2,2,100.0,0,0.0,8,56,24,0,0,0,0,0,8,0
Omari Hutchinson,20,eng ENG,AM,21-087,78,32,0,9,19,6,0,32,4,2,50.0,2,50.0,15,83,46,1,0,0,1,0,17,1
Julio Enciso,9,py PAR,AM,21-002,12,8,0,1,4,3,0,8,0,0,,0,,2,12,0,0,0,0,0,0,5,1
Kalvin Phillips,8,eng ENG,DM,29-054,90,62,12,36,22,4,0,62,2,0,0.0,2,100.0,30,157,71,0,0,0,3,1,33,0
Sam Morsy,5,eg EGY,DM,33-137,90,50,6,20,28,2,0,50,0,0,,0,,20,72,11,0,0,0,0,1,31,0
Leif Davis,3,eng ENG,LB,25-013,45,29,4,16,11,2,0,29,0,0,,0,,10,71,60,2,0,0,0,0,12,1
Conor Townsend,22,eng ENG,LB,31-327,45,35,4,16,12,7,1,35,0,0,,0,,14,72,46,0,0,0,2,0,20,2
Jacob Greaves,24,eng ENG,CB,24-135,90,36,19,28,7,1,1,36,0,0,,0,,15,48,19,0,0,0,0,0,18,0
Dara O'Shea,26,ie IRL,CB,25-327,90,46,22,37,9,0,0,46,0,0,,0,,19,63,30,0,0,0,0,0,28,0
Axel Tuanzebe,40,cd COD,RB,27-072,90,41,9,28,9,4,0,41,1,0,0.0,1,100.0,17,68,21,0,0,0,1,0,19,0
Christian Walton,28,eng ENG,GK,29-077,90,39,35,38,1,0,0,39,0,0,,0,,18,87,45,0,0,0,0,0,19,0
