Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Liam Delap,19,eng ENG,FW,21-332,87,0,0,0,1,3,0,0,0,1,1,0,0,1,3,5,37.5
Ali Al Hamadi,16,iq IRQ,FW,22-310,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Nathan Broadhead,33,wls WAL,LM,26-275,79,1,0,0,1,3,0,0,1,0,0,0,0,3,0,2,0.0
Jack Clarke,47,eng ENG,LM,24-043,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
Jens Cajuste,12,se SWE,CM,25-148,72,0,0,0,1,1,0,1,2,1,0,0,0,5,1,0,100.0
Kalvin Phillips,8,eng ENG,CM,29-034,18,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,100.0
Sam Morsy,5,eg EGY,CM,33-117,90,1,0,0,3,1,0,0,0,1,0,1,0,2,0,0,
Sammie Szmodics,23,ie IRL,RM,29-103,72,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,
Jack Taylor,14,ie IRL,RM,26-196,18,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,
Leif Davis,3,eng ENG,LB,24-359,90,1,0,0,2,0,0,5,2,1,0,1,0,1,1,4,20.0
Jacob Greaves,24,eng ENG,CB,24-115,90,0,0,0,0,0,0,0,2,0,0,0,0,3,5,3,62.5
Luke Woolfenden,6,eng ENG,CB,26-076,90,0,0,0,1,0,0,0,1,0,0,0,0,3,1,3,25.0
Dara O'Shea,26,ie IRL,CB,25-307,90,1,0,0,1,1,1,0,3,1,0,0,0,0,2,4,33.3
Ben Johnson,18,eng ENG,RB,24-347,79,1,0,0,2,1,0,0,2,0,0,0,0,4,4,2,66.7
Wes Burns,7,wls WAL,RB,30-043,11,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0
Christian Walton,28,eng ENG,GK,29-057,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
