Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Liam Delap,19,eng ENG,FW,22-035,79,23,1,1,7,16,4,23,1,0,0.0,1,100.0,11,73,53,4,1,1,1,1,15,3
George Hirst,27,sct SCO,FW,26-028,11,5,1,1,2,2,1,5,0,0,,0,,2,9,5,0,0,0,0,0,4,0
Julio Enciso,9,py PAR,"LW,AM",21-051,79,36,0,1,18,18,1,36,4,3,75.0,1,25.0,12,79,23,1,1,0,2,3,25,6
Nathan Broadhead,33,wls WAL,AM,26-344,11,9,0,2,6,1,0,9,1,0,0.0,1,100.0,3,22,4,0,0,0,0,0,6,1
Jaden Philogene Bidace,29,eng ENG,"RW,LW",23-035,79,28,1,6,10,12,1,28,3,1,33.3,1,33.3,14,70,22,1,0,1,0,1,15,4
Jack Clarke,47,eng ENG,LW,24-112,11,10,1,3,5,2,0,10,0,0,,0,,6,54,5,0,0,0,0,0,7,0
Omari Hutchinson,20,eng ENG,"RW,AM",21-136,90,51,0,4,25,22,2,51,2,1,50.0,1,50.0,23,189,85,4,1,2,5,1,38,10
Jens Cajuste,12,se SWE,DM,25-217,90,53,3,9,34,10,1,53,6,4,66.7,1,16.7,23,146,94,3,0,0,1,1,35,0
Kalvin Phillips,8,eng ENG,DM,29-103,85,49,4,14,28,7,0,49,0,0,,0,,19,76,27,0,0,0,1,1,28,1
Jack Taylor,14,ie IRL,DM,26-265,5,6,0,0,6,0,0,6,0,0,,0,,2,28,17,0,0,0,0,0,5,0
Leif Davis,3,eng ENG,LB,25-062,90,58,4,14,24,20,0,58,0,0,,0,,28,123,80,2,2,0,1,0,38,6
Jacob Greaves,24,eng ENG,CB,24-184,45,51,10,23,27,1,0,51,0,0,,0,,27,182,116,1,1,0,0,0,37,0
Cameron Burgess,15,au AUS,CB,29-145,45,45,4,17,26,2,0,45,0,0,,0,,18,97,59,0,0,0,0,0,32,0
Luke Woolfenden,6,eng ENG,CB,26-145,90,67,2,25,42,0,0,67,0,0,,0,,47,467,363,2,0,0,1,0,50,0
Dara O'Shea,26,ie IRL,RB,26-011,90,60,1,26,27,7,2,60,0,0,,0,,14,48,17,0,0,0,0,1,30,0
Alex Palmer,31,eng ENG,GK,28-217,90,30,20,30,0,0,0,30,0,0,,0,,13,93,73,0,0,0,0,0,13,0
