Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Liam Delap,19,eng ENG,FW,22-028,83,0,0,0,2,1,0,1,0,0,0,0,0,2,4,2,66.7
George Hirst,27,sct SCO,FW,26-021,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Jack Clarke,47,eng ENG,LW,24-105,66,0,0,0,0,2,0,0,0,2,0,0,0,2,0,1,0.0
Omari Hutchinson,20,eng ENG,AM,21-129,24,0,0,0,1,1,0,1,0,0,0,0,0,4,0,0,
Jaden Philogene Bidace,29,eng ENG,RW,23-028,66,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,100.0
Ben Johnson,18,eng ENG,WB,25-043,24,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,
Julio Enciso,9,py PAR,AM,21-044,74,1,0,0,1,1,0,1,0,1,0,0,0,8,2,1,66.7
Nathan Broadhead,33,wls WAL,AM,26-337,16,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,
Jens Cajuste,12,se SWE,"DM,CM",25-210,83,0,0,0,0,0,0,1,1,2,0,0,0,5,2,2,50.0
Jack Taylor,14,ie IRL,CM,26-258,7,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0
Kalvin Phillips,8,eng ENG,"DM,CM",29-096,90,1,0,0,2,1,0,2,0,1,0,0,0,5,1,4,20.0
Leif Davis,3,eng ENG,"LB,WB",25-055,90,0,0,0,0,0,0,9,3,1,0,0,0,3,1,2,33.3
Jacob Greaves,24,eng ENG,CB,24-177,90,1,0,0,1,1,0,0,0,0,0,0,0,4,4,8,33.3
Luke Woolfenden,6,eng ENG,CB,26-138,90,0,0,0,0,0,0,0,1,1,0,0,0,4,3,0,100.0
Dara O'Shea,26,ie IRL,"RB,CB",26-004,90,0,0,0,0,1,0,0,1,0,0,0,0,2,1,1,50.0
Alex Palmer,31,eng ENG,GK,28-210,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
