Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Liam Delap,19,eng ENG,FW,21-290,80,16,0,1,8,7,2,16,2,0,0.0,2,100.0,12,83,51,1,1,0,1,0,14,3
Ali Al Hamadi,16,iq IRQ,FW,22-268,10,6,0,0,3,3,0,6,0,0,,0,,3,7,1,0,1,0,1,0,3,1
Sammie Szmodics,23,ie IRL,LW,29-061,64,15,0,1,6,8,2,15,1,0,0.0,0,0.0,12,34,12,0,0,0,1,1,11,3
Jack Clarke,47,eng ENG,LW,24-001,26,8,0,2,2,4,1,8,0,0,,0,,4,20,2,0,0,0,0,1,4,0
Wes Burns,7,wls WAL,RW,30-001,80,31,0,4,9,18,1,31,3,1,33.3,2,66.7,22,146,77,6,0,1,1,1,20,5
Conor Chaplin,10,eng ENG,RW,27-282,10,9,0,0,5,4,1,9,0,0,,0,,5,15,7,0,0,0,0,0,7,1
Omari Hutchinson,20,eng ENG,AM,21-025,90,64,1,7,25,34,1,64,5,2,40.0,2,40.0,39,226,101,0,1,0,3,3,47,4
Jens Cajuste,12,se SWE,DM,25-106,64,46,1,8,26,12,0,46,1,1,100.0,0,0.0,24,109,62,1,2,0,1,1,30,0
Jack Taylor,14,ie IRL,DM,26-154,26,11,0,2,8,1,0,11,0,0,,0,,6,23,9,0,0,0,0,0,6,0
Sam Morsy,5,eg EGY,DM,33-075,90,79,0,11,49,19,0,79,1,1,100.0,0,0.0,46,250,75,1,2,0,1,1,62,1
Leif Davis,3,eng ENG,LB,24-317,90,33,0,5,12,16,1,33,1,0,0.0,0,0.0,14,59,21,1,0,0,2,1,18,3
Cameron Burgess,15,au AUS,CB,29-034,90,58,10,25,27,6,0,58,0,0,,0,,34,133,74,0,1,0,0,0,41,0
Dara O'Shea,26,ie IRL,CB,25-265,90,76,12,35,36,5,2,76,0,0,,0,,41,164,32,0,0,0,0,0,46,0
Axel Tuanzebe,40,cd COD,RB,27-010,90,67,1,8,51,8,0,67,0,0,,0,,32,150,62,0,1,0,1,0,43,1
Arijanet Muric,1,xk KVX,GK,26-017,90,35,28,33,2,0,0,35,0,0,,0,,26,138,92,0,0,0,0,0,16,0
