Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
George Hirst,27,sct SCO,FW,25-254,72,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Liam Delap,19,eng ENG,FW,21-261,18,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Sammie Szmodics,23,ie IRL,LW,29-032,72,1,1,0,0,1,1,1,100.0,0,2,1,1,0,1,2,0
Jack Clarke,47,eng ENG,"LM,CM",23-338,18,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Chiedozie Ogbene,21,ie IRL,RW,27-178,34,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Wes Burns,7,wls WAL,"RW,RM,RB",29-338,56,3,3,0,3,0,2,3,66.7,1,0,0,0,2,5,1,0
Conor Chaplin,10,eng ENG,AM,27-253,72,1,0,0,1,0,1,1,100.0,0,1,0,1,2,3,0,0
Luke Woolfenden,6,eng ENG,"RB,CB",26-005,18,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Jens Cajuste,12,se SWE,"DM,CM",25-077,89,1,0,0,0,1,1,1,100.0,0,4,1,3,2,3,1,0
Conor Townsend,22,eng ENG,CM,31-236,1,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0
Kalvin Phillips,8,eng ENG,"DM,CM",28-329,90,2,1,1,1,0,1,2,50.0,1,2,2,0,1,3,3,0
Leif Davis,3,eng ENG,LB,24-288,90,1,0,1,0,0,1,2,50.0,1,2,0,2,2,3,2,0
Cameron Burgess,15,au AUS,CB,29-005,90,1,1,1,0,0,0,0,,0,1,1,0,2,3,11,0
Dara O'Shea,26,ie IRL,CB,25-236,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,9,0
Harry Clarke,2,eng ENG,RB,23-238,68,2,2,2,0,0,2,3,66.7,1,1,1,0,1,3,4,0
Arijanet Muric,1,xk KVX,GK,25-354,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
