Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
George Hirst,27,sct SCO,FW,25-254,72,15,15,0,0,0,0,0,0,0,0,0,0,9,0,1
Liam Delap,19,eng ENG,FW,21-261,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sammie Szmodics,23,ie IRL,LW,29-032,72,14,14,0,0,0,0,0,0,0,0,0,0,11,0,0
Jack Clarke,47,eng ENG,"LM,CM",23-338,18,6,5,1,0,0,0,0,0,0,0,0,0,4,0,2
Chiedozie Ogbene,21,ie IRL,RW,27-178,34,5,5,0,0,0,0,1,0,0,0,0,0,4,0,1
Wes Burns,7,wls WAL,"RW,RM,RB",29-338,56,13,12,1,0,0,0,1,1,0,0,0,0,8,0,2
Conor Chaplin,10,eng ENG,AM,27-253,72,25,20,5,1,1,0,5,0,0,0,0,0,17,0,0
Luke Woolfenden,6,eng ENG,"RB,CB",26-005,18,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0
Jens Cajuste,12,se SWE,"DM,CM",25-077,89,35,31,4,0,1,0,1,4,0,0,0,0,23,0,0
Conor Townsend,22,eng ENG,CM,31-236,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kalvin Phillips,8,eng ENG,"DM,CM",28-329,90,43,40,3,1,0,0,3,0,2,2,0,0,30,0,0
Leif Davis,3,eng ENG,LB,24-288,90,40,32,7,1,0,0,6,3,3,2,0,0,28,1,2
Cameron Burgess,15,au AUS,CB,29-005,90,38,33,5,3,0,0,0,0,0,0,0,0,34,0,0
Dara O'Shea,26,ie IRL,CB,25-236,90,28,27,1,1,0,0,1,0,0,0,0,0,16,0,0
Harry Clarke,2,eng ENG,RB,23-238,68,27,24,3,0,0,0,1,3,0,0,0,0,19,0,1
Arijanet Muric,1,xk KVX,GK,25-354,90,35,26,9,2,0,0,0,0,0,0,0,0,16,0,0
