Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Liam Delap,19,eng ENG,FW,21-205,80,5,5,0,0,1,0,0,0,0,0,0,0,3,0,0
Ali Al Hamadi,16,iq IRQ,FW,22-183,10,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
Sammie Szmodics,23,ie IRL,LW,28-342,80,16,16,0,0,0,0,0,0,0,0,0,0,10,0,3
Jack Clarke,47,eng ENG,LW,23-282,10,4,3,1,0,0,0,2,0,1,1,0,0,1,0,0
Chiedozie Ogbene,21,ie IRL,RW,27-122,87,16,16,0,0,0,0,2,0,0,0,0,0,12,0,2
Conor Chaplin,10,eng ENG,"AM,RW",27-197,3,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
Omari Hutchinson,20,eng ENG,"AM,RW",20-306,90,32,29,2,0,0,1,1,0,0,0,0,0,29,1,0
Kalvin Phillips,8,eng ENG,DM,28-273,70,35,30,4,1,1,1,3,0,3,3,0,0,27,1,1
Jens Cajuste,12,se SWE,DM,25-021,20,9,9,0,0,0,0,0,0,0,0,0,0,8,0,0
Sam Morsy,5,eg EGY,DM,32-356,90,60,58,2,2,0,0,2,0,0,0,0,0,53,0,2
Leif Davis,3,eng ENG,LB,24-232,90,48,40,8,1,1,0,5,3,4,3,0,0,40,0,0
Jacob Greaves,24,eng ENG,CB,23-354,90,49,46,2,2,0,0,0,0,0,0,0,0,41,1,0
Luke Woolfenden,6,eng ENG,CB,25-315,90,60,59,1,1,0,2,0,0,0,0,0,0,53,0,0
Axel Tuanzebe,40,cd COD,RB,26-291,90,52,43,9,5,0,0,1,4,0,0,0,0,45,0,0
Arijanet Muric,1,xk KVX,GK,25-298,90,41,35,5,1,0,0,0,0,0,0,0,0,32,1,0
