Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Liam Delap,19,eng ENG,FW,21-219,58,0,0,0,3,1,1,0,1,0,0,0,0,2,0,0,
George Hirst,27,sct SCO,FW,25-212,32,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,33.3
Sammie Szmodics,23,ie IRL,LW,28-356,58,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,
Jack Clarke,47,eng ENG,LW,23-296,32,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,
Wes Burns,7,wls WAL,RW,29-296,58,0,0,0,0,3,0,1,0,0,0,0,0,3,0,4,0.0
Chiedozie Ogbene,21,ie IRL,RW,27-136,32,0,0,0,0,2,0,1,1,0,0,0,0,2,0,2,0.0
Omari Hutchinson,20,eng ENG,AM,20-320,84,1,0,0,3,0,1,0,0,1,0,0,0,4,1,2,33.3
Conor Chaplin,10,eng ENG,AM,27-211,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,
Kalvin Phillips,8,eng ENG,DM,28-287,90,1,0,0,2,3,0,1,3,1,0,0,0,6,1,2,33.3
Sam Morsy,5,eg EGY,DM,33-004,84,1,0,0,3,0,0,0,0,0,0,0,0,4,0,0,
Massimo Luongo,25,au AUS,DM,31-355,6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
Leif Davis,3,eng ENG,LB,24-246,90,0,0,0,1,2,0,2,0,3,0,0,0,7,1,1,50.0
Jacob Greaves,24,eng ENG,CB,24-002,90,0,0,0,1,1,0,0,1,3,0,0,0,0,4,2,66.7
Dara O'Shea,26,ie IRL,CB,25-194,90,0,0,0,0,0,0,0,4,2,0,0,0,2,6,1,85.7
Axel Tuanzebe,40,cd COD,RB,26-305,90,0,0,0,0,0,0,0,1,2,0,0,0,2,2,1,66.7
Arijanet Muric,1,xk KVX,GK,25-312,90,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,100.0
