Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Liam Delap,19,eng ENG,FW,21-226,72,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
George Hirst,27,sct SCO,FW,25-219,18,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Sammie Szmodics,23,ie IRL,LW,28-363,61,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Jack Clarke,47,eng ENG,LW,23-303,29,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,1,0
Wes Burns,7,wls WAL,RW,29-303,72,2,2,0,1,1,0,1,0.0,1,0,0,0,0,2,0,0
Conor Chaplin,10,eng ENG,RW,27-218,18,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Omari Hutchinson,20,eng ENG,AM,20-327,90,1,0,0,1,0,0,0,,0,1,0,1,3,4,0,0
Jens Cajuste,12,se SWE,DM,25-042,60,2,1,0,2,0,0,0,,0,0,0,0,0,2,1,0
Jack Taylor,14,ie IRL,DM,26-090,30,1,0,0,1,0,1,1,100.0,0,0,0,0,1,2,1,0
Sam Morsy,5,eg EGY,DM,33-011,90,4,3,1,3,0,2,3,66.7,1,0,0,0,1,5,0,0
Leif Davis,3,eng ENG,LB,24-253,90,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,2,0
Jacob Greaves,24,eng ENG,CB,24-009,90,5,1,3,2,0,1,4,25.0,3,0,0,0,1,6,3,0
Dara O'Shea,26,ie IRL,CB,25-201,90,1,1,0,1,0,0,0,,0,1,1,0,4,5,4,0
Axel Tuanzebe,40,cd COD,RB,26-312,81,1,0,0,0,1,1,1,100.0,0,1,1,0,2,3,1,0
Ben Johnson,18,eng ENG,RB,24-241,9,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Arijanet Muric,1,xk KVX,GK,25-319,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
