Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Jamie Vardy,9,eng ENG,FW,37-233,90,1,0,0,3,2,1,0,0,0,0,0,0,0,1,2,33.3
Jordan Ayew,18,gh GHA,LW,32-355,67,0,0,0,1,5,1,4,0,1,0,0,0,8,1,0,100.0
Stephy Mavididi,10,eng ENG,"LM,WB",26-092,23,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,
Abdul Fatawu Issahaku,7,gh GHA,RW,20-176,67,0,0,0,1,4,0,1,1,3,0,0,0,4,2,0,100.0
Facundo Buonanotte,40,ar ARG,"RM,AM",19-252,23,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,
Wilfred Ndidi,6,ng NGA,"AM,CM",27-259,88,0,0,0,2,0,0,4,1,0,0,0,0,2,1,2,33.3
Bobby De Cordova-Reid,14,jm JAM,"AM,CM",31-211,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Oliver Skipp,22,eng ENG,DM,23-350,67,1,0,0,1,3,0,0,1,1,0,0,0,3,0,0,
Bilal El Khannouss,11,ma MAR,CM,20-113,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Harry Winks,8,eng ENG,"DM,CM",28-211,90,1,0,0,0,0,0,1,1,1,0,0,0,4,0,0,
Victor Bernth Kristiansen,16,dk DEN,"LB,CB",21-259,90,0,0,0,0,1,0,7,3,2,0,0,0,1,0,1,0.0
Caleb Okoli,5,it ITA,CB,23-049,89,1,0,0,2,2,0,0,1,1,0,0,0,6,0,2,0.0
Kasey McAteer,35,ie IRL,"WB,CB",22-283,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0
Wout Faes,3,be BEL,CB,26-150,90,0,0,0,1,0,0,0,1,0,0,0,0,4,3,2,60.0
James Justin,2,eng ENG,"RB,CB",26-190,90,0,0,0,0,3,0,0,2,0,0,0,0,5,1,0,100.0
Mads Hermansen,30,dk DEN,GK,24-051,90,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,
