Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Jamie Vardy,9,eng ENG,FW,37-233,90,12,9,3,0,0,0,0,0,0,0,0,0,9,0,1
Jordan Ayew,18,gh GHA,LW,32-355,67,28,28,0,0,0,1,4,0,0,0,0,0,22,0,1
Stephy Mavididi,10,eng ENG,"LM,WB",26-092,23,7,6,1,1,0,0,1,0,0,0,0,0,6,0,0
Abdul Fatawu Issahaku,7,gh GHA,RW,20-176,67,18,17,1,0,0,0,1,1,0,0,0,0,14,0,0
Facundo Buonanotte,40,ar ARG,"RM,AM",19-252,23,20,20,0,0,1,0,0,0,0,0,0,0,17,0,0
Wilfred Ndidi,6,ng NGA,"AM,CM",27-259,88,37,37,0,0,0,0,4,0,0,0,0,0,29,0,1
Bobby De Cordova-Reid,14,jm JAM,"AM,CM",31-211,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
Oliver Skipp,22,eng ENG,DM,23-350,67,43,42,1,1,0,0,0,0,0,0,0,0,38,0,1
Bilal El Khannouss,11,ma MAR,CM,20-113,23,16,15,0,0,0,0,0,0,0,0,0,0,15,1,0
Harry Winks,8,eng ENG,"DM,CM",28-211,90,84,76,7,6,0,1,1,1,0,0,0,0,76,1,1
Victor Bernth Kristiansen,16,dk DEN,"LB,CB",21-259,90,50,42,8,5,0,0,7,2,1,1,0,0,41,0,0
Caleb Okoli,5,it ITA,CB,23-049,89,68,63,5,3,0,0,0,0,0,0,0,0,62,0,0
Kasey McAteer,35,ie IRL,"WB,CB",22-283,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
Wout Faes,3,be BEL,CB,26-150,90,76,72,4,4,0,0,0,0,0,0,0,0,69,0,2
James Justin,2,eng ENG,"RB,CB",26-190,90,53,50,3,1,0,0,0,2,0,0,0,0,45,0,0
Mads Hermansen,30,dk DEN,GK,24-051,90,29,25,3,1,0,1,0,0,0,0,0,0,26,1,0
