Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Jamie Vardy,9,eng ENG,FW,37-346,90,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Stephy Mavididi,10,eng ENG,LW,26-205,90,4,2,2,2,0,2,2,100.0,0,1,0,1,0,4,0,0
Jordan Ayew,18,gh GHA,"RW,AM",33-102,83,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0
Facundo Buonanotte,40,ar ARG,AM,19-365,7,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0
Bilal El Khannouss,11,ma MAR,AM,20-226,53,1,0,0,1,0,0,0,,0,2,0,2,0,1,0,0
Bobby De Cordova-Reid,14,jm JAM,RW,31-324,37,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
Boubakary Soumaré,24,fr FRA,DM,25-299,90,1,1,1,0,0,1,1,100.0,0,2,0,2,1,2,0,0
Oliver Skipp,22,eng ENG,DM,24-097,45,2,0,0,2,0,0,0,,0,0,0,0,0,2,0,0
Harry Winks,8,eng ENG,DM,28-324,45,2,1,0,2,0,2,2,100.0,0,0,0,0,0,2,0,0
Victor Bernth Kristiansen,16,dk DEN,LB,22-006,90,1,1,0,1,0,0,0,,0,1,0,1,2,3,0,0
Jannik Vestergaard,23,dk DEN,CB,32-141,45,0,0,0,0,0,0,0,,0,2,0,2,1,1,2,0
Wout Faes,3,be BEL,CB,26-263,45,3,0,1,2,0,1,1,100.0,0,0,0,0,0,3,0,0
Conor Coady,4,eng ENG,CB,31-301,90,1,1,0,1,0,1,1,100.0,0,1,1,0,3,4,2,0
James Justin,2,eng ENG,RB,26-303,53,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,1
Hamza Choudhury,17,bd BAN,RB,27-082,37,1,1,1,0,0,1,2,50.0,1,1,0,1,2,3,0,0
Danny Ward,1,wls WAL,GK,31-183,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
