Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Patson Daka,20,zm ZAM,FW,26-078,90,18,3,7,8,3,1,18,1,0,0.0,1,100.0,7,50,5,0,0,0,2,2,11,4
Stephy Mavididi,10,eng ENG,LW,26-209,86,29,4,11,7,12,0,29,2,0,0.0,2,100.0,14,124,69,2,2,0,2,0,15,3
Bobby De Cordova-Reid,14,jm JAM,LW,31-328,4,3,0,1,1,1,0,3,1,0,0.0,0,0.0,1,6,6,0,0,0,0,0,2,0
Jordan Ayew,18,gh GHA,"RW,AM",33-106,90,44,5,16,24,5,1,44,1,0,0.0,1,100.0,20,114,48,1,1,0,2,0,28,2
Bilal El Khannouss,11,ma MAR,AM,20-230,63,23,2,5,14,4,0,23,1,0,0.0,1,100.0,8,42,0,0,0,0,0,2,10,1
Facundo Buonanotte,40,ar ARG,"AM,RW",20-003,27,15,1,7,8,0,0,15,2,0,0.0,1,50.0,4,20,1,0,0,0,0,2,9,1
Boubakary Soumaré,24,fr FRA,DM,25-303,90,41,5,19,20,2,0,41,1,1,100.0,0,0.0,18,65,29,0,0,0,2,2,28,0
Harry Winks,8,eng ENG,DM,28-328,64,31,4,16,15,0,0,31,1,0,0.0,1,100.0,15,79,37,0,0,0,0,1,23,0
Oliver Skipp,22,eng ENG,DM,24-101,26,10,3,6,4,0,0,10,0,0,,0,,4,12,9,0,0,0,0,0,8,0
Victor Bernth Kristiansen,16,dk DEN,LB,22-010,90,36,7,19,12,5,0,36,1,0,0.0,1,100.0,15,103,50,1,1,0,0,0,15,0
Jannik Vestergaard,23,dk DEN,CB,32-145,90,53,18,40,14,0,0,53,0,0,,0,,19,103,71,0,0,0,0,0,29,0
Conor Coady,4,eng ENG,CB,31-305,89,52,17,37,15,0,0,52,0,0,,0,,23,86,63,0,0,0,0,0,30,0
Caleb Okoli,5,it ITA,CB,23-166,1,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0
James Justin,2,eng ENG,RB,26-307,90,50,9,33,13,5,2,50,1,0,0.0,1,100.0,16,113,62,3,2,0,0,0,27,0
Jakub Stolarczyk,41,pl POL,GK,24-007,90,49,40,49,0,0,0,49,0,0,,0,,17,100,85,0,0,0,1,0,20,0
