Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Jamie Vardy,9,eng ENG,FW,37-327,59,1,0,0,1,1,0,0,0,1,0,0,0,2,0,3,0.0
Patson Daka,20,zm ZAM,FW,26-055,31,0,0,0,0,2,0,0,0,1,0,0,0,1,0,3,0.0
Bilal El Khannouss,11,ma MAR,"LW,AM",20-207,73,0,0,0,2,0,0,3,3,1,0,0,0,3,1,1,50.0
Bobby De Cordova-Reid,14,jm JAM,"AM,RW",31-305,17,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
Kasey McAteer,35,ie IRL,"RW,LW",23-011,73,0,0,0,0,2,0,2,0,4,0,0,0,7,1,5,16.7
Stephy Mavididi,10,eng ENG,LW,26-186,17,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,100.0
Facundo Buonanotte,40,ar ARG,"RW,AM",19-346,89,0,0,0,1,0,1,2,0,3,0,0,0,3,2,6,25.0
Jordan Ayew,18,gh GHA,AM,33-083,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
Boubakary Soumaré,24,fr FRA,DM,25-280,90,1,0,0,1,0,0,0,0,2,0,0,0,8,1,0,100.0
Wilfred Ndidi,6,ng NGA,DM,27-353,90,0,0,0,1,0,0,0,3,6,0,0,0,4,4,1,80.0
Victor Bernth Kristiansen,16,dk DEN,LB,21-353,90,0,0,0,2,0,0,1,1,2,0,0,0,7,2,2,50.0
Jannik Vestergaard,23,dk DEN,CB,32-122,59,0,0,0,0,0,0,0,1,2,0,0,0,2,1,1,50.0
Wout Faes,3,be BEL,CB,26-244,31,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,100.0
Conor Coady,4,eng ENG,CB,31-282,90,0,0,0,0,0,0,0,1,2,0,0,0,3,1,3,25.0
James Justin,2,eng ENG,RB,26-284,90,0,0,0,1,0,0,3,1,0,0,0,0,0,3,2,60.0
Mads Hermansen,30,dk DEN,GK,24-145,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
