Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Jamie Vardy,9,eng ENG,FW,38-035,90,18,16,1,0,0,0,0,0,0,0,0,0,12,1,3
Jordan Ayew,18,gh GHA,LW,33-157,74,23,23,0,0,0,0,1,0,0,0,0,0,17,0,0
Stephy Mavididi,10,eng ENG,"LW,LM",26-260,16,5,4,1,0,0,0,1,0,1,1,0,0,3,0,0
Bobby De Cordova-Reid,14,jm JAM,RW,32-013,84,11,11,0,0,0,0,0,0,0,0,0,0,10,0,0
Facundo Buonanotte,40,ar ARG,RM,20-054,6,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0
Bilal El Khannouss,11,ma MAR,"AM,CM",20-281,90,35,32,3,0,0,0,4,1,0,0,0,0,26,0,2
Boubakary Soumaré,24,fr FRA,"DM,CM",25-354,90,34,32,2,2,0,0,1,0,0,0,0,0,25,0,2
Wilfred Ndidi,6,ng NGA,DM,28-061,84,24,24,0,0,0,0,1,0,0,0,0,0,13,0,0
Patson Daka,20,zm ZAM,FW,26-129,6,4,3,1,0,0,0,0,1,0,0,0,0,3,0,0
Victor Bernth Kristiansen,16,dk DEN,LB,22-061,90,42,29,13,2,0,0,8,9,2,2,0,0,30,0,1
Caleb Okoli,5,it ITA,CB,23-217,90,49,44,5,2,0,0,0,0,0,0,0,0,42,0,0
Wout Faes,3,be BEL,CB,26-318,90,25,25,0,0,0,0,0,0,0,0,0,0,21,0,0
James Justin,2,eng ENG,RB,26-358,42,18,13,5,0,0,0,0,5,0,0,0,0,14,0,1
Woyo Coulibaly,25,ml MLI,RB,25-271,48,20,14,6,0,0,0,0,6,0,0,0,0,18,0,0
Mads Hermansen,30,dk DEN,GK,24-219,90,50,38,12,8,0,0,0,0,0,0,0,0,22,0,0
