Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Jamie Vardy,9,eng ENG,FW,38-015,76,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0.0
Patson Daka,20,zm ZAM,FW,26-109,14,0,0,0,1,1,1,0,0,1,0,0,0,0,1,2,33.3
Bobby De Cordova-Reid,14,jm JAM,LW,31-359,85,1,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0.0
Oliver Skipp,22,eng ENG,"CM,LW",24-132,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
Jordan Ayew,18,gh GHA,RW,33-137,86,0,0,0,4,2,1,5,1,1,0,0,0,6,7,6,53.8
Conor Coady,4,eng ENG,CB,31-336,4,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,100.0
Bilal El Khannouss,11,ma MAR,AM,20-261,76,0,0,0,0,0,0,4,0,1,0,0,0,5,2,1,66.7
Facundo Buonanotte,40,ar ARG,"FW,AM",20-034,14,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0.0
Boubakary Soumaré,24,fr FRA,"DM,CM",25-334,90,0,0,0,0,0,0,1,2,2,0,0,0,9,2,1,66.7
Harry Winks,8,eng ENG,"DM,CM",28-359,90,1,0,0,1,0,0,2,1,1,0,0,0,9,1,0,100.0
Victor Bernth Kristiansen,16,dk DEN,LB,22-041,90,0,0,0,3,0,0,1,5,1,0,0,0,7,0,0,
Jannik Vestergaard,23,dk DEN,CB,32-176,90,0,0,0,1,0,0,0,1,1,0,0,0,3,1,0,100.0
Wout Faes,3,be BEL,CB,26-298,90,0,0,0,1,0,0,0,2,2,0,0,0,2,2,1,66.7
James Justin,2,eng ENG,RB,26-338,89,1,0,0,4,0,0,1,2,3,0,0,0,5,1,2,33.3
Woyo Coulibaly,25,ml MLI,RB,25-251,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,
Jakub Stolarczyk,41,pl POL,GK,24-038,90,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,100.0
