Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Jamie Vardy,9,eng ENG,FW,37-268,73,17,2,2,5,10,2,17,0,0,,0,,10,52,26,2,0,1,4,0,12,5
Odsonne Édouard,29,fr FRA,FW,26-263,17,13,1,1,4,8,4,13,2,1,50.0,1,50.0,6,14,2,0,0,0,4,0,8,1
Stephy Mavididi,10,eng ENG,LW,26-127,81,32,1,6,17,10,2,32,3,0,0.0,2,66.7,23,216,97,6,1,2,2,6,26,7
Abdul Fatawu Issahaku,7,gh GHA,LW,20-211,9,7,0,1,4,3,0,7,4,1,25.0,2,50.0,5,86,71,3,1,0,0,0,4,0
Facundo Buonanotte,40,ar ARG,RW,19-287,81,36,3,11,17,8,2,36,2,2,100.0,0,0.0,26,180,109,3,2,1,1,1,23,3
Bobby De Cordova-Reid,14,jm JAM,RW,31-246,9,7,0,3,2,2,0,7,1,0,0.0,1,100.0,3,20,19,0,0,0,1,0,2,0
Jordan Ayew,18,gh GHA,AM,33-024,87,36,2,6,18,12,0,36,3,0,0.0,2,66.7,23,166,77,2,2,0,4,0,31,2
Boubakary Soumaré,24,fr FRA,AM,25-221,3,1,0,0,0,1,0,1,0,0,,0,,0,0,0,0,0,0,0,0,1,1
Oliver Skipp,22,eng ENG,DM,24-019,90,44,4,19,23,2,0,44,1,0,0.0,1,100.0,27,116,81,2,0,0,0,1,27,0
Wilfred Ndidi,6,ng NGA,DM,27-294,90,61,8,32,25,4,1,61,0,0,,0,,29,70,24,0,0,0,2,2,30,1
Victor Bernth Kristiansen,16,dk DEN,LB,21-294,90,59,1,27,25,7,0,59,2,1,50.0,1,50.0,26,111,40,1,0,0,0,0,26,0
Caleb Okoli,5,it ITA,CB,23-084,90,72,17,54,18,0,0,72,0,0,,0,,35,178,61,0,0,0,1,0,40,0
Wout Faes,3,be BEL,CB,26-185,90,43,14,30,12,1,0,43,0,0,,0,,17,81,31,0,0,0,0,0,18,0
James Justin,2,eng ENG,RB,26-225,90,61,4,24,32,5,0,61,2,1,50.0,1,50.0,22,93,39,0,0,0,0,1,30,0
Mads Hermansen,30,dk DEN,GK,24-086,90,48,35,44,4,0,0,48,0,0,,0,,27,158,70,0,0,0,0,0,24,0
