Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Jamie Vardy,9,eng ENG,FW,37-254,82,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Odsonne Édouard,29,fr FRA,FW,26-249,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Stephy Mavididi,10,eng ENG,LW,26-113,89,3,2,0,2,1,2,2,100.0,0,4,1,3,0,3,0,0
Abdul Fatawu Issahaku,7,gh GHA,LW,20-197,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Jordan Ayew,18,gh GHA,RW,33-010,90,1,0,0,0,1,1,2,50.0,1,1,0,1,0,1,0,0
Bilal El Khannouss,11,ma MAR,AM,20-134,55,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0
Facundo Buonanotte,40,ar ARG,AM,19-273,35,1,0,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0
Wilfred Ndidi,6,ng NGA,DM,27-280,90,6,5,3,3,0,2,2,100.0,0,1,0,1,2,8,0,0
Harry Winks,8,eng ENG,DM,28-232,90,2,0,2,0,0,1,2,50.0,1,0,0,0,0,2,1,0
Victor Bernth Kristiansen,16,dk DEN,LB,21-280,90,3,3,1,2,0,0,1,0.0,1,0,0,0,1,4,1,0
Caleb Okoli,5,it ITA,CB,23-070,90,2,2,2,0,0,2,2,100.0,0,3,2,1,0,2,3,0
Wout Faes,3,be BEL,CB,26-171,90,2,1,2,0,0,1,4,25.0,3,2,2,0,0,2,7,0
James Justin,2,eng ENG,RB,26-211,90,3,3,2,0,1,3,4,75.0,1,2,1,1,1,4,3,0
Mads Hermansen,30,dk DEN,GK,24-072,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
