Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Diogo Jota,20,pt POR,FW,28-119,74,21,20,0,0,0,0,1,0,0,0,0,0,12,1,1
Darwin Núñez,9,uy URU,FW,25-282,16,7,7,0,0,0,0,0,0,0,0,0,0,5,0,1
Luis Díaz,7,co COL,LW,28-079,85,64,63,1,0,0,1,5,1,0,0,0,0,56,0,2
Cody Gakpo,18,nl NED,LW,25-330,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohamed Salah,11,eg EGY,RW,32-291,89,46,45,1,0,0,0,3,1,0,0,0,0,37,0,1
Wataru Endo,3,jp JPN,RW,32-052,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominik Szoboszlai,8,hu HUN,AM,24-159,90,58,55,3,0,0,0,2,2,0,0,0,0,49,0,3
Alexis Mac Allister,10,ar ARG,DM,26-099,90,57,44,12,1,0,0,12,0,11,5,6,0,37,1,1
Ryan Gravenberch,38,nl NED,DM,22-321,90,84,83,1,0,0,0,1,1,0,0,0,0,74,0,1
Andrew Robertson,26,sct SCO,LB,31-022,90,64,53,11,1,0,0,6,10,0,0,0,0,53,0,2
Virgil van Dijk,4,nl NED,CB,33-268,90,85,75,10,5,0,1,0,2,0,0,0,0,76,0,1
Ibrahima Konaté,5,fr FRA,CB,25-312,90,65,65,0,0,1,1,0,0,0,0,0,0,58,0,0
Curtis Jones,17,eng ENG,RB,24-062,90,78,70,8,3,0,0,0,5,0,0,0,0,73,0,1
Caoimhín Kelleher,62,ie IRL,GK,26-130,90,41,36,5,4,0,0,0,0,0,0,0,0,33,0,0
