Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Diogo Jota,20,pt POR,FW,28-123,66,1,1,0,1,0,1,1,100.0,0,2,0,2,0,1,1,0
Darwin Núñez,9,uy URU,FW,25-286,24,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Cody Gakpo,18,nl NED,LW,25-334,54,1,0,0,0,1,0,1,0.0,1,0,0,0,1,2,0,0
Luis Díaz,7,co COL,"LW,WB",28-083,36,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Mohamed Salah,11,eg EGY,"RW,WB",32-295,90,0,0,0,0,0,0,1,0.0,1,4,0,4,2,2,0,0
Dominik Szoboszlai,8,hu HUN,AM,24-163,54,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1
Harvey Elliott,19,eng ENG,"AM,CM",22-002,36,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Alexis Mac Allister,10,ar ARG,"DM,CM",26-103,90,3,1,0,2,1,0,2,0.0,2,2,0,2,0,3,1,0
Ryan Gravenberch,38,nl NED,"DM,CB",22-325,90,2,0,1,1,0,2,2,100.0,0,2,1,1,1,3,1,0
Andrew Robertson,26,sct SCO,LB,31-026,81,2,1,1,1,0,1,2,50.0,1,0,0,0,0,2,3,1
Federico Chiesa,14,it ITA,FW,27-163,9,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Virgil van Dijk,4,nl NED,CB,33-272,90,1,1,0,1,0,1,2,50.0,1,0,0,0,2,3,8,0
Ibrahima Konaté,5,fr FRA,CB,25-316,66,3,2,1,2,0,1,1,100.0,0,1,1,0,1,4,3,1
Conor Bradley,84,nir NIR,"RB,CB",21-271,24,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,2,0
Curtis Jones,17,eng ENG,"RB,DM,CM",24-066,90,2,0,0,1,1,0,0,,0,0,0,0,0,2,2,1
Caoimhín Kelleher,62,ie IRL,GK,26-134,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
