Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Diogo Jota,20,pt POR,FW,28-123,66,8,8,0,0,0,0,0,0,0,0,0,0,2,0,0
Darwin Núñez,9,uy URU,FW,25-286,24,8,8,0,0,0,1,0,0,0,0,0,0,5,0,0
Cody Gakpo,18,nl NED,LW,25-334,54,10,9,1,0,0,0,2,1,0,0,0,0,7,0,0
Luis Díaz,7,co COL,"LW,WB",28-083,36,25,23,2,1,0,2,2,1,0,0,0,0,21,0,1
Mohamed Salah,11,eg EGY,"RW,WB",32-295,90,34,33,1,0,1,0,4,1,0,0,0,0,22,0,2
Dominik Szoboszlai,8,hu HUN,AM,24-163,54,29,24,5,0,0,0,0,1,0,0,0,0,23,0,0
Harvey Elliott,19,eng ENG,"AM,CM",22-002,36,31,28,1,0,1,0,0,1,0,0,0,0,24,2,0
Alexis Mac Allister,10,ar ARG,"DM,CM",26-103,90,66,56,10,5,1,0,6,1,4,2,2,0,51,0,2
Ryan Gravenberch,38,nl NED,"DM,CB",22-325,90,75,72,2,0,0,1,0,2,0,0,0,0,68,1,0
Andrew Robertson,26,sct SCO,LB,31-026,81,49,39,10,0,0,0,2,10,0,0,0,0,40,0,1
Federico Chiesa,14,it ITA,FW,27-163,9,7,6,1,0,0,0,1,1,0,0,0,0,6,0,0
Virgil van Dijk,4,nl NED,CB,33-272,90,82,77,5,2,0,0,0,0,0,0,0,0,72,0,1
Ibrahima Konaté,5,fr FRA,CB,25-316,66,51,49,2,2,0,0,0,0,0,0,0,0,47,0,0
Conor Bradley,84,nir NIR,"RB,CB",21-271,24,28,26,2,0,0,1,1,2,0,0,0,0,21,0,2
Curtis Jones,17,eng ENG,"RB,DM,CM",24-066,90,64,54,10,2,0,1,1,8,0,0,0,0,58,0,1
Caoimhín Kelleher,62,ie IRL,GK,26-134,90,45,43,2,0,0,0,0,0,0,0,0,0,35,0,0
