Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Diogo Jota,20,pt POR,FW,27-257,78,27,1,1,9,18,10,27,2,1,50.0,1,50.0,16,98,47,2,2,2,1,4,17,7
Cody Gakpo,18,nl NED,FW,25-102,12,11,1,1,6,4,3,11,0,0,,0,,5,21,15,1,0,1,0,0,9,5
Luis Díaz,7,co COL,LW,27-217,90,44,1,4,12,29,9,44,5,5,100.0,0,0.0,28,297,195,9,4,6,1,4,34,10
Mohamed Salah,11,eg EGY,RW,32-063,90,44,1,3,15,26,10,44,2,0,0.0,2,100.0,26,178,23,2,1,2,2,1,38,11
Dominik Szoboszlai,8,hu HUN,AM,23-297,90,59,1,9,28,23,4,59,1,1,100.0,0,0.0,33,168,105,4,1,0,2,0,42,3
Alexis Mac Allister,10,ar ARG,DM,25-237,90,66,1,12,31,24,2,66,7,1,14.3,6,85.7,34,66,36,0,0,0,1,0,41,0
Ryan Gravenberch,38,nl NED,DM,22-093,90,68,3,23,31,16,0,68,2,1,50.0,1,50.0,40,184,110,2,3,0,0,0,50,0
Andrew Robertson,26,sct SCO,LB,30-159,78,87,6,43,18,26,2,87,1,0,0.0,1,100.0,38,124,60,1,1,1,1,0,51,2
Kostas Tsimikas,21,gr GRE,LB,28-097,12,14,1,1,9,4,0,14,0,0,,0,,9,66,52,1,1,0,0,0,12,0
Virgil van Dijk,4,nl NED,CB,33-040,90,89,13,50,36,3,2,89,0,0,,0,,54,181,49,0,0,0,0,0,74,0
Jarell Quansah,78,eng ENG,CB,21-201,45,35,11,27,7,1,0,35,0,0,,0,,16,47,12,0,0,0,0,0,22,0
Ibrahima Konaté,5,fr FRA,CB,25-084,45,35,5,21,14,0,0,35,1,1,100.0,0,0.0,22,95,56,0,0,0,0,0,23,0
Trent Alexander-Arnold,66,eng ENG,RB,25-315,76,58,2,21,21,16,1,58,1,0,0.0,0,0.0,33,183,117,2,0,0,0,0,38,0
Conor Bradley,84,nir NIR,RB,21-039,14,31,1,9,13,10,3,31,1,1,100.0,0,0.0,16,84,49,1,0,0,1,0,20,0
Alisson,1,br BRA,GK,31-320,90,52,35,50,2,0,0,52,0,0,,0,,37,94,48,0,0,0,0,0,43,0
