Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Luis Díaz,7,co COL,"FW,LW",27-323,89,0,0,0,2,1,1,1,0,0,1,0,0,4,0,1,0.0
Harvey Elliott,19,eng ENG,LW,21-241,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Cody Gakpo,18,nl NED,LW,25-208,72,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0.0
Darwin Núñez,9,uy URU,FW,25-160,18,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,
Mohamed Salah,11,eg EGY,RW,32-169,83,0,0,0,0,1,2,1,1,0,0,0,0,4,1,0,100.0
Curtis Jones,17,eng ENG,AM,23-306,7,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,
Dominik Szoboszlai,8,hu HUN,"AM,RW",24-037,90,0,0,0,1,1,0,3,1,1,0,0,0,7,2,0,100.0
Alexis Mac Allister,10,ar ARG,DM,25-343,90,0,0,0,1,1,0,2,0,3,0,0,0,4,0,0,
Ryan Gravenberch,38,nl NED,DM,22-199,90,1,0,0,2,1,0,0,1,0,0,0,0,7,0,0,
Andrew Robertson,26,sct SCO,LB,30-265,90,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,
Virgil van Dijk,4,nl NED,CB,33-146,90,0,0,0,0,0,0,0,3,0,0,0,0,1,3,1,75.0
Joe Gomez,2,eng ENG,CB,27-192,90,0,0,0,0,1,0,0,0,0,0,0,0,7,1,0,100.0
Trent Alexander-Arnold,66,eng ENG,RB,26-055,72,0,0,0,0,1,0,6,0,4,0,0,0,6,0,0,
Jarell Quansah,78,eng ENG,RB,21-307,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0
Caoimhín Kelleher,62,ie IRL,GK,26-008,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
