Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Luis Díaz,7,co COL,"FW,WB,LW",27-336,90,21,21,0,0,0,0,2,0,0,0,0,0,16,0,0
Cody Gakpo,18,nl NED,LW,25-221,69,22,20,1,1,0,0,4,0,0,0,0,0,14,1,1
Darwin Núñez,9,uy URU,FW,25-173,21,6,5,1,0,0,0,0,1,0,0,0,0,6,0,0
Mohamed Salah,11,eg EGY,"RW,FW",32-182,90,31,28,3,0,1,0,4,3,0,0,0,0,20,0,3
Dominik Szoboszlai,8,hu HUN,"LM,AM",24-050,78,46,42,4,0,0,0,1,3,0,0,0,0,37,0,3
Harvey Elliott,19,eng ENG,WB,21-254,12,26,19,7,1,0,0,8,2,3,2,1,0,18,0,0
Ryan Gravenberch,38,nl NED,"CB,CM,DM",22-212,90,68,68,0,0,0,0,0,0,0,0,0,0,65,0,0
Curtis Jones,17,eng ENG,RM,23-319,69,48,47,1,0,0,0,0,0,0,0,0,0,46,0,0
Jarell Quansah,78,eng ENG,CB,21-320,21,31,28,3,1,0,0,2,2,0,0,0,0,26,0,0
Andrew Robertson,26,sct SCO,LB,30-278,15,12,11,0,0,0,0,0,0,0,0,0,0,9,1,0
Virgil van Dijk,4,nl NED,CB,33-159,90,79,77,2,1,0,0,0,0,0,0,0,0,76,0,0
Joe Gomez,2,eng ENG,"LB,CB",27-205,90,68,62,6,2,0,0,1,4,0,0,0,0,61,0,0
Trent Alexander-Arnold,66,eng ENG,RB,26-068,78,76,69,7,2,0,2,7,3,2,0,1,1,59,0,0
Diogo Jota,20,pt POR,AM,28-010,12,15,15,0,0,0,0,2,0,0,0,0,0,10,0,1
Alisson,1,br BRA,GK,32-073,90,37,29,8,1,0,0,0,0,0,0,0,0,35,0,0
