Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Darwin Núñez,9,uy URU,FW,25-163,90,13,12,1,0,0,0,0,1,0,0,0,0,9,0,1
Cody Gakpo,18,nl NED,LW,25-211,66,18,17,1,0,0,0,2,1,0,0,0,0,11,0,0
Luis Díaz,7,co COL,LW,27-326,24,9,9,0,0,0,0,0,0,0,0,0,0,8,0,0
Mohamed Salah,11,eg EGY,RW,32-172,90,31,31,0,0,2,0,3,0,0,0,0,0,21,0,2
Curtis Jones,17,eng ENG,"AM,DM",23-309,90,60,55,5,0,0,0,2,1,1,0,0,0,56,0,1
Alexis Mac Allister,10,ar ARG,DM,25-346,90,47,41,6,0,0,0,4,1,5,3,0,0,41,0,0
Ryan Gravenberch,38,nl NED,DM,22-202,66,53,53,0,0,0,0,0,0,0,0,0,0,47,0,0
Dominik Szoboszlai,8,hu HUN,AM,24-040,24,15,14,1,0,0,0,0,0,0,0,0,0,15,0,0
Andrew Robertson,26,sct SCO,LB,30-268,90,77,68,9,2,0,0,3,7,0,0,0,0,68,0,1
Virgil van Dijk,4,nl NED,CB,33-149,90,59,52,7,1,0,1,0,0,0,0,0,0,53,0,0
Joe Gomez,2,eng ENG,CB,27-195,66,53,50,3,3,0,0,0,0,0,0,0,0,48,0,1
Trent Alexander-Arnold,66,eng ENG,RB,26-058,24,18,17,1,0,0,0,1,1,0,0,0,0,14,0,1
Jarell Quansah,78,eng ENG,"RB,CB",21-310,90,55,49,6,3,0,0,0,3,0,0,0,0,46,0,0
Caoimhín Kelleher,62,ie IRL,GK,26-011,90,45,38,7,4,0,0,0,0,0,0,0,0,36,0,0
