Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Luis Díaz,7,co COL,"FW,LW",28-019,90,29,29,0,0,0,0,0,0,0,0,0,0,23,0,1
Cody Gakpo,18,nl NED,LW,25-270,69,16,16,0,0,0,0,2,0,0,0,0,0,9,0,0
Darwin Núñez,9,uy URU,FW,25-222,21,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
Mohamed Salah,11,eg EGY,RW,32-231,87,43,43,0,0,0,0,1,0,0,0,0,0,35,0,0
Wataru Endo,3,jp JPN,CM,31-358,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominik Szoboszlai,8,hu HUN,"AM,RW",24-099,90,43,41,2,1,0,1,1,0,1,0,1,0,39,0,0
Alexis Mac Allister,10,ar ARG,DM,26-039,60,41,40,1,1,0,0,2,0,0,0,0,0,34,0,2
Curtis Jones,17,eng ENG,"DM,LM",24-002,30,18,17,1,1,0,0,0,0,0,0,0,0,17,0,0
Ryan Gravenberch,38,nl NED,"DM,RM",22-261,90,44,42,2,1,0,1,0,0,0,0,0,0,41,0,0
Andrew Robertson,26,sct SCO,LB,30-327,90,47,38,8,2,0,0,2,5,1,0,1,0,39,1,1
Virgil van Dijk,4,nl NED,CB,33-208,90,38,32,6,2,0,0,1,0,0,0,0,0,33,0,1
Ibrahima Konaté,5,fr FRA,CB,25-252,90,44,40,4,4,0,1,0,0,0,0,0,0,34,0,0
Trent Alexander-Arnold,66,eng ENG,RB,26-117,69,50,33,17,2,0,0,3,14,1,0,0,0,31,0,2
Conor Bradley,84,nir NIR,RB,21-207,21,10,6,4,2,0,0,1,2,0,0,0,0,6,0,2
Alisson,1,br BRA,GK,32-122,90,35,27,8,2,0,0,0,0,0,0,0,0,25,0,0
