Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Diogo Jota,20,pt POR,FW,28-074,63,0,0,0,2,0,0,0,0,0,0,0,0,3,0,3,0.0
Darwin Núñez,9,uy URU,FW,25-237,27,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,66.7
Luis Díaz,7,co COL,LW,28-034,70,0,0,0,1,3,0,2,0,0,1,0,0,6,0,1,0.0
Wataru Endo,3,jp JPN,DM,32-007,20,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,
Mohamed Salah,11,eg EGY,RW,32-246,90,0,0,0,2,2,2,2,0,1,0,0,0,3,0,0,
Dominik Szoboszlai,8,hu HUN,"AM,LW",24-114,90,0,0,0,1,2,0,0,0,1,0,0,0,4,0,1,0.0
Alexis Mac Allister,10,ar ARG,"DM,AM",26-054,90,0,0,0,1,1,1,3,1,3,0,0,0,4,0,3,0.0
Ryan Gravenberch,38,nl NED,DM,22-276,90,0,0,0,3,2,0,1,3,0,0,0,0,4,0,0,
Andrew Robertson,26,sct SCO,LB,30-342,90,0,0,0,0,0,1,3,3,2,0,0,0,2,0,1,0.0
Virgil van Dijk,4,nl NED,CB,33-223,90,1,0,0,1,0,0,0,4,0,0,0,0,0,4,0,100.0
Ibrahima Konaté,5,fr FRA,CB,25-267,45,1,0,0,2,0,0,0,0,1,0,0,0,2,2,0,100.0
Jarell Quansah,78,eng ENG,CB,22-018,45,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,
Trent Alexander-Arnold,66,eng ENG,RB,26-132,63,0,0,0,0,0,0,1,2,2,0,0,0,4,0,0,
Conor Bradley,84,nir NIR,RB,21-222,27,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,
Alisson,1,br BRA,GK,32-137,90,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,
