Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Curtis Jones,17,eng ENG,FW,24-024,73,1,1,0,1,0,1,1,100.0,0,1,0,1,0,1,0,0
Wataru Endo,3,jp JPN,DM,32-014,17,2,2,2,0,0,1,3,33.3,2,0,0,0,0,2,2,0
Dominik Szoboszlai,8,hu HUN,FW,24-121,90,2,2,1,1,0,0,1,0.0,1,4,0,4,0,2,0,0
Luis Díaz,7,co COL,AM,28-041,78,3,3,2,0,1,1,3,33.3,2,0,0,0,1,4,0,0
Cody Gakpo,18,nl NED,AM,25-292,12,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Mohamed Salah,11,eg EGY,AM,32-253,89,2,1,2,0,0,2,3,66.7,1,0,0,0,0,2,0,0
Harvey Elliott,19,eng ENG,AM,21-325,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Alexis Mac Allister,10,ar ARG,"DM,FW",26-061,90,2,1,1,1,0,1,3,33.3,2,1,1,0,0,2,3,0
Ryan Gravenberch,38,nl NED,DM,22-283,90,2,2,2,0,0,0,0,,0,4,2,2,1,3,4,0
Andrew Robertson,26,sct SCO,LB,30-349,73,3,1,3,0,0,3,4,75.0,1,0,0,0,0,3,5,0
Kostas Tsimikas,21,gr GRE,LB,28-287,17,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Virgil van Dijk,4,nl NED,CB,33-230,90,2,0,2,0,0,1,1,100.0,0,4,3,1,1,3,9,0
Ibrahima Konaté,5,fr FRA,CB,25-274,90,1,0,1,0,0,1,3,33.3,2,2,1,1,1,2,5,0
Trent Alexander-Arnold,66,eng ENG,RB,26-139,89,2,0,1,1,0,2,14,14.3,12,2,1,1,0,2,5,0
Jarell Quansah,78,eng ENG,RB,22-025,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Alisson,1,br BRA,GK,32-144,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
