Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Diogo Jota,20,pt POR,FW,28-084,61,13,13,0,0,0,0,0,0,0,0,0,0,11,0,0
Cody Gakpo,18,nl NED,LW,25-295,29,13,13,0,0,0,0,0,0,0,0,0,0,12,0,0
Luis Díaz,7,co COL,"LW,FW",28-044,86,38,37,1,0,0,2,0,1,0,0,0,0,34,0,0
Darwin Núñez,9,uy URU,FW,25-247,4,5,5,0,0,0,0,0,0,0,0,0,0,3,0,2
Mohamed Salah,11,eg EGY,RW,32-256,90,33,32,1,0,0,0,0,1,0,0,0,0,29,0,1
Dominik Szoboszlai,8,hu HUN,AM,24-124,90,43,38,5,0,0,0,1,4,1,0,1,0,38,0,2
Alexis Mac Allister,10,ar ARG,DM,26-064,86,38,38,0,0,0,0,0,0,0,0,0,0,33,0,1
Curtis Jones,17,eng ENG,DM,24-027,4,11,11,0,0,0,0,0,0,0,0,0,0,10,0,0
Ryan Gravenberch,38,nl NED,DM,22-286,76,39,38,1,0,0,0,0,0,0,0,0,0,33,0,0
Wataru Endo,3,jp JPN,DM,32-017,14,16,16,0,0,0,0,0,0,0,0,0,0,16,0,0
Kostas Tsimikas,21,gr GRE,LB,28-290,90,70,60,10,1,0,0,3,6,3,1,0,0,62,0,2
Virgil van Dijk,4,nl NED,CB,33-233,90,107,95,12,6,0,1,0,0,0,0,0,0,102,0,0
Ibrahima Konaté,5,fr FRA,CB,25-277,90,72,71,1,1,0,1,0,0,0,0,0,0,66,0,0
Trent Alexander-Arnold,66,eng ENG,RB,26-142,76,78,66,12,4,0,4,0,8,0,0,0,0,61,0,3
Jarell Quansah,78,eng ENG,RB,22-028,14,13,13,0,0,0,0,0,0,0,0,0,0,13,0,0
Alisson,1,br BRA,GK,32-147,90,34,33,1,0,0,0,0,0,0,0,0,0,32,0,0
