Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Luis Díaz,7,co COL,FW,28-005,64,0,0,0,2,0,0,1,0,1,0,0,0,2,0,2,0.0
Darwin Núñez,9,uy URU,FW,25-208,26,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,50.0
Cody Gakpo,18,nl NED,LW,25-256,86,0,0,0,1,1,0,3,0,1,0,0,0,4,1,0,100.0
Federico Chiesa,14,it ITA,LW,27-085,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Mohamed Salah,11,eg EGY,RW,32-217,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Dominik Szoboszlai,8,hu HUN,AM,24-085,79,1,0,0,2,1,0,1,0,0,0,0,0,5,0,2,0.0
Harvey Elliott,19,eng ENG,AM,21-289,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Alexis Mac Allister,10,ar ARG,DM,26-025,79,0,0,0,2,3,0,1,0,0,0,0,0,1,1,0,100.0
Curtis Jones,17,eng ENG,DM,23-354,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0
Ryan Gravenberch,38,nl NED,DM,22-247,90,0,0,0,1,0,0,1,0,0,0,0,0,6,0,0,
Kostas Tsimikas,21,gr GRE,LB,28-251,64,1,0,0,1,0,0,7,1,0,0,0,0,5,0,0,
Andrew Robertson,26,sct SCO,LB,30-313,26,0,0,0,0,0,0,5,0,0,0,0,0,1,0,1,0.0
Virgil van Dijk,4,nl NED,CB,33-194,90,0,0,0,0,1,0,0,0,1,0,0,0,5,3,2,60.0
Ibrahima Konaté,5,fr FRA,CB,25-238,90,0,0,0,4,0,0,0,1,1,0,0,0,5,5,4,55.6
Trent Alexander-Arnold,66,eng ENG,RB,26-103,90,0,0,0,0,0,0,12,2,1,0,0,0,6,0,1,0.0
Alisson,1,br BRA,GK,32-108,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
