Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Luis Díaz,7,co COL,FW,28-005,64,34,1,1,7,26,8,34,3,2,66.7,1,33.3,19,117,63,2,2,0,1,1,26,12
Darwin Núñez,9,uy URU,FW,25-208,26,9,0,0,1,8,5,9,2,1,50.0,1,50.0,7,48,15,1,0,1,0,0,6,1
Cody Gakpo,18,nl NED,LW,25-256,86,44,1,1,12,32,5,44,2,0,0.0,1,50.0,34,212,106,4,3,0,0,0,39,15
Federico Chiesa,14,it ITA,LW,27-085,4,8,0,0,3,5,0,8,0,0,,0,,7,32,21,1,0,0,0,1,8,2
Mohamed Salah,11,eg EGY,RW,32-217,90,48,0,0,13,35,19,48,1,0,0.0,1,100.0,27,142,113,5,0,5,2,0,37,20
Dominik Szoboszlai,8,hu HUN,AM,24-085,79,50,0,2,19,30,8,50,4,1,25.0,2,50.0,29,212,176,5,2,2,1,0,36,6
Harvey Elliott,19,eng ENG,AM,21-289,11,8,0,1,3,4,1,8,0,0,,0,,7,32,29,1,0,1,0,0,7,1
Alexis Mac Allister,10,ar ARG,DM,26-025,79,58,1,5,20,34,4,58,3,2,66.7,0,0.0,33,193,136,2,3,1,0,0,47,2
Curtis Jones,17,eng ENG,DM,23-354,11,17,0,1,10,6,0,17,1,0,0.0,1,100.0,11,57,27,1,0,0,0,1,14,2
Ryan Gravenberch,38,nl NED,DM,22-247,90,53,0,6,28,22,0,53,0,0,,0,,30,175,138,2,2,0,2,0,36,0
Kostas Tsimikas,21,gr GRE,LB,28-251,64,48,4,10,17,21,0,48,0,0,,0,,21,75,37,1,0,0,1,0,30,7
Andrew Robertson,26,sct SCO,LB,30-313,26,30,3,7,8,15,1,30,0,0,,0,,11,41,30,1,0,0,0,0,20,2
Virgil van Dijk,4,nl NED,CB,33-194,90,59,10,23,21,15,4,59,0,0,,0,,29,116,54,0,0,0,0,0,38,0
Ibrahima Konaté,5,fr FRA,CB,25-238,90,64,6,21,24,19,2,64,0,0,,0,,30,138,90,2,5,0,0,0,33,0
Trent Alexander-Arnold,66,eng ENG,RB,26-103,90,82,5,16,17,50,4,82,3,1,33.3,2,66.7,44,206,121,1,0,1,1,0,52,7
Alisson,1,br BRA,GK,32-108,90,27,19,27,0,0,0,27,0,0,,0,,17,73,54,0,0,0,0,0,9,0
