Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Diogo Jota,20,pt POR,FW,27-272,75,0,0,0,1,0,0,0,1,0,0,0,0,2,2,1,66.7
Darwin Núñez,9,uy URU,FW,25-069,15,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
Luis Díaz,7,co COL,LW,27-232,65,0,0,0,1,1,0,0,0,0,0,0,0,3,0,3,0.0
Cody Gakpo,18,nl NED,LW,25-117,25,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
Mohamed Salah,11,eg EGY,RW,32-078,90,0,0,0,0,2,2,1,1,1,0,0,0,5,0,0,
Dominik Szoboszlai,8,hu HUN,AM,23-312,90,0,0,0,1,1,0,1,1,0,0,0,0,10,0,0,
Alexis Mac Allister,10,ar ARG,DM,25-252,90,0,0,0,1,0,0,0,0,5,0,0,0,8,0,0,
Ryan Gravenberch,38,nl NED,DM,22-108,90,0,0,0,1,3,0,0,4,2,0,0,0,6,1,0,100.0
Andrew Robertson,26,sct SCO,LB,30-174,82,0,0,0,0,0,0,1,0,1,0,0,0,6,0,0,
Kostas Tsimikas,21,gr GRE,LB,28-112,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Virgil van Dijk,4,nl NED,CB,33-055,90,1,0,0,1,0,0,0,3,0,0,0,0,3,5,0,100.0
Ibrahima Konaté,5,fr FRA,CB,25-099,90,0,0,0,0,0,0,0,0,2,0,0,0,3,4,1,80.0
Trent Alexander-Arnold,66,eng ENG,RB,25-330,75,0,0,0,0,0,0,3,0,2,0,0,0,2,0,0,
Conor Bradley,84,nir NIR,RB,21-054,15,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
Alisson,1,br BRA,GK,31-335,90,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,100.0
