Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Erling Haaland,9,no NOR,FW,24-034,89,20,0,0,4,16,10,19,3,2,66.7,1,33.3,6,30,14,2,0,2,0,0,15,3
James Mcatee,87,eng ENG,FW,21-311,1,6,0,0,1,5,1,6,0,0,,0,,2,5,0,0,0,0,0,0,4,0
Jeremy Doku,11,be BEL,LW,22-089,70,47,1,1,11,36,3,47,5,2,40.0,3,60.0,33,260,143,4,5,0,2,1,38,13
İlkay Gündoğan,19,de GER,DM,33-305,20,18,0,1,3,14,2,18,0,0,,0,,9,21,13,1,1,1,0,0,18,0
Sávio,26,br BRA,RW,20-136,70,66,0,2,8,57,6,66,4,1,25.0,1,25.0,45,326,207,6,1,3,4,1,51,14
Jack Grealish,10,eng ENG,LW,28-349,20,19,2,3,2,14,3,19,0,0,,0,,14,90,43,1,1,2,1,0,15,2
Kevin De Bruyne,17,be BEL,"CM,AM",33-057,89,111,0,1,40,70,3,111,1,1,100.0,0,0.0,61,249,146,4,2,1,1,3,96,6
Matheus Nunes,27,pt POR,AM,25-363,1,4,0,0,1,3,0,4,0,0,,0,,1,7,7,0,0,0,0,0,3,1
Bernardo Silva,20,pt POR,"CM,RW",30-014,90,58,0,2,16,40,6,58,0,0,,0,,29,147,79,1,0,0,0,3,48,7
Mateo Kovačić,8,hr CRO,DM,30-110,49,34,0,5,19,12,0,34,3,3,100.0,0,0.0,19,121,60,0,0,0,1,0,25,0
John Stones,5,eng ENG,DM,30-088,41,27,3,3,15,9,1,27,0,0,,0,,14,72,26,1,2,0,0,0,19,0
Rico Lewis,82,eng ENG,"DM,RB",19-277,90,86,1,11,41,36,10,86,2,1,50.0,1,50.0,40,191,102,2,2,2,4,2,58,10
Joško Gvardiol,24,hr CRO,LB,22-214,90,103,0,15,65,23,1,103,2,1,50.0,1,50.0,65,279,184,3,4,0,0,0,90,2
Rúben Dias,3,pt POR,CB,27-102,90,126,3,32,74,20,0,126,0,0,,0,,82,526,318,1,6,0,1,0,107,1
Manuel Akanji,25,ch SUI,"RB,CB",29-036,90,134,5,25,63,46,1,134,0,0,,0,,64,251,124,1,3,0,1,0,112,1
Ederson,31,br BRA,GK,31-007,90,25,18,25,0,0,0,25,0,0,,0,,17,79,44,0,0,0,1,0,19,0
