Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Erling Haaland,9,no NOR,FW,24-133,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0
Matheus Nunes,27,pt POR,LW,26-096,56,1,0,0,2,0,1,1,0,0,0,0,0,2,0,2,0.0
Jeremy Doku,11,be BEL,"LW,LM",22-188,34,0,0,0,0,2,1,0,0,1,0,0,0,2,0,1,0.0
Rico Lewis,82,eng ENG,"RW,DM",20-010,78,0,0,0,0,1,0,0,1,3,0,0,0,3,0,0,
Jack Grealish,10,eng ENG,"CM,DM",29-082,12,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,
Phil Foden,47,eng ENG,AM,24-187,78,1,0,0,1,1,0,0,0,0,0,0,0,2,0,0,
Kevin De Bruyne,17,be BEL,"CM,AM",33-156,12,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,
İlkay Gündoğan,19,de GER,DM,34-038,57,0,0,0,1,1,0,2,1,0,0,0,0,4,0,0,
Sávio,26,br BRA,"RW,RM",20-235,33,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,
Bernardo Silva,20,pt POR,DM,30-113,90,0,0,0,2,0,0,0,1,3,0,0,0,1,0,0,
Nathan Aké,6,nl NED,LB,29-287,90,0,0,0,1,0,0,1,2,3,0,0,0,5,1,2,33.3
Manuel Akanji,25,ch SUI,CB,29-135,90,1,0,0,0,2,0,1,0,0,0,0,0,7,1,1,50.0
Rúben Dias,3,pt POR,CB,27-201,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Kyle Walker,2,eng ENG,RB,34-187,90,0,0,0,0,1,1,1,0,2,0,0,0,7,3,0,100.0
Stefan Ortega,18,de GER,GK,32-025,90,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,
