Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Erling Haaland,9,no NOR,FW,24-153,90,12,12,0,0,0,0,0,0,0,0,0,0,8,0,0
Jack Grealish,10,eng ENG,"LW,DM",29-102,90,45,44,1,0,0,0,4,0,1,0,0,0,37,0,3
Bernardo Silva,20,pt POR,"RW,DM",30-133,90,37,35,2,2,0,1,2,0,0,0,0,0,32,0,0
Phil Foden,47,eng ENG,AM,24-207,90,43,37,6,3,0,1,3,0,0,0,0,0,38,0,0
Mateo Kovačić,8,hr CRO,DM,30-229,83,64,62,2,2,0,1,0,0,0,0,0,0,60,0,0
Jeremy Doku,11,be BEL,LW,22-208,7,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0
İlkay Gündoğan,19,de GER,DM,34-058,72,21,17,4,1,0,0,3,0,3,2,0,0,17,0,0
Sávio,26,br BRA,RW,20-255,18,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0
Joško Gvardiol,24,hr CRO,"CB,LB",22-333,90,61,60,1,1,0,0,1,0,0,0,0,0,55,0,0
John Stones,5,eng ENG,CB,30-207,45,59,53,6,4,0,0,0,0,0,0,0,0,59,0,0
Kyle Walker,2,eng ENG,RB,34-207,45,30,27,3,0,0,0,0,3,0,0,0,0,29,0,0
Manuel Akanji,25,ch SUI,CB,29-155,90,82,77,5,1,0,2,1,2,0,0,0,0,76,0,0
Rico Lewis,82,eng ENG,"LB,RB",20-030,90,71,64,7,2,0,0,0,5,0,0,0,0,65,0,1
Stefan Ortega,18,de GER,GK,32-045,90,31,30,1,1,0,0,0,0,0,0,0,0,28,0,1
