Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Erling Haaland,9,no NOR,FW,24-161,90,29,1,2,11,16,9,29,3,2,66.7,1,33.3,12,121,82,2,2,0,1,0,24,4
Sávio,26,br BRA,LM,20-263,90,36,1,4,11,21,6,36,0,0,,0,,22,152,67,2,0,2,4,0,29,10
Bernardo Silva,20,pt POR,CM,30-141,90,54,1,14,20,21,5,54,2,1,50.0,1,50.0,29,202,96,0,2,0,1,1,35,3
Kevin De Bruyne,17,be BEL,CM,33-184,90,59,1,4,29,26,2,59,3,1,33.3,2,66.7,36,142,75,1,0,0,1,2,46,11
Phil Foden,47,eng ENG,RM,24-215,65,36,0,4,9,23,2,36,2,0,0.0,2,100.0,26,143,61,3,1,1,2,2,28,9
James Mcatee,87,eng ENG,RM,22-072,25,16,0,4,5,7,0,16,1,1,100.0,0,0.0,10,88,49,2,0,0,0,0,13,0
Mateo Kovačić,8,hr CRO,DM,30-237,90,69,2,12,40,17,0,69,0,0,,0,,46,265,117,2,3,0,2,0,55,0
Joško Gvardiol,24,hr CRO,"LB,CB",22-341,90,84,4,25,43,16,0,84,0,0,,0,,62,356,238,0,1,0,0,1,72,3
Nathan Aké,6,nl NED,CB,29-315,69,54,5,15,39,0,0,54,0,0,,0,,41,200,129,0,0,0,0,0,46,0
Kyle Walker,2,eng ENG,RB,34-215,21,18,0,7,9,2,0,18,0,0,,0,,7,39,13,0,0,0,0,0,15,0
Manuel Akanji,25,ch SUI,CB,29-163,90,77,8,31,40,6,0,77,0,0,,0,,49,297,150,0,4,0,0,0,59,0
Rico Lewis,82,eng ENG,"RB,LB",20-038,90,59,3,18,34,7,0,59,1,0,0.0,1,100.0,31,110,51,0,1,0,1,1,44,0
Stefan Ortega,18,de GER,GK,32-053,90,32,28,32,0,0,0,32,0,0,,0,,17,96,44,0,0,0,0,0,13,0
