Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Erling Haaland,9,no NOR,FW,24-209,86,0,0,0,2,0,0,0,0,0,0,0,0,1,2,2,50.0
Matheus Nunes,27,pt POR,AM,26-172,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
Omar Marmoush,7,eg EGY,LW,26-008,75,0,0,0,1,3,0,5,2,0,0,0,0,3,0,0,
Jeremy Doku,11,be BEL,LW,22-264,15,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
Sávio,26,br BRA,RW,20-311,90,0,0,0,0,2,0,2,0,1,0,0,0,6,0,0,
Phil Foden,47,eng ENG,AM,24-263,75,0,0,0,0,1,0,4,0,0,0,0,0,2,0,0,
James Mcatee,87,eng ENG,"AM,FW",22-120,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
İlkay Gündoğan,19,de GER,DM,34-114,86,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0.0
Mateo Kovačić,8,hr CRO,DM,30-285,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,
Nicolás González,14,es ESP,DM,23-043,90,0,0,0,0,1,0,0,1,0,0,0,0,4,0,1,0.0
Joško Gvardiol,24,hr CRO,LB,23-023,86,0,0,0,0,1,0,1,0,2,0,0,0,4,2,1,66.7
Nico O’Reilly,75,eng ENG,LB,19-331,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
John Stones,5,eng ENG,CB,30-263,90,0,0,0,0,1,0,0,1,0,0,0,0,3,1,0,100.0
Abdukodir Khusanov,45,uz UZB,CB,20-352,90,0,0,0,2,0,0,0,0,1,0,0,0,5,2,0,100.0
Rico Lewis,82,eng ENG,RB,20-086,90,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,
Ederson,31,br BRA,GK,31-182,90,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0
