Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Erling Haaland,9,no NOR,FW,24-196,90,5,5,0,0,0,0,0,0,0,0,0,0,2,0,0
Sávio,26,br BRA,LW,20-298,90,38,37,1,0,0,1,2,1,0,0,0,0,34,0,1
Phil Foden,47,eng ENG,RW,24-250,71,41,40,1,1,0,1,2,0,0,0,0,0,36,0,1
James Mcatee,87,eng ENG,RW,22-107,19,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Omar Marmoush,7,eg EGY,AM,25-361,71,27,25,2,0,0,0,2,0,2,2,0,0,21,0,1
Kevin De Bruyne,17,be BEL,AM,33-219,19,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0
Mateo Kovačić,8,hr CRO,DM,30-272,90,59,57,2,2,0,1,0,0,0,0,0,0,59,0,0
Bernardo Silva,20,pt POR,DM,30-176,90,43,36,7,2,0,0,1,0,0,0,0,0,37,0,1
Joško Gvardiol,24,hr CRO,LB,23-010,90,68,62,6,1,0,0,1,5,0,0,0,0,62,0,0
John Stones,5,eng ENG,CB,30-250,90,73,67,5,1,0,2,0,0,0,0,0,0,68,1,0
Manuel Akanji,25,ch SUI,CB,29-198,90,63,62,1,1,0,2,0,0,0,0,0,0,60,0,1
Matheus Nunes,27,pt POR,RB,26-159,90,51,43,8,0,0,1,6,8,0,0,0,0,40,0,2
Stefan Ortega,18,de GER,GK,32-088,90,32,28,4,1,0,0,0,0,0,0,0,0,20,0,0
