Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Erling Haaland,9,no NOR,FW,24-177,90,31,0,2,13,16,7,31,0,0,,0,,16,61,5,0,1,0,2,1,27,5
Sávio,26,br BRA,LW,20-279,90,46,1,4,11,33,6,46,4,2,50.0,1,25.0,30,332,226,6,4,4,2,0,31,3
Phil Foden,47,eng ENG,RW,24-231,86,56,2,7,16,34,9,56,0,0,,0,,39,194,117,4,1,2,2,0,44,10
James Mcatee,87,eng ENG,RW,22-088,4,4,0,0,1,3,2,4,0,0,,0,,3,9,2,0,0,0,0,0,3,2
Kevin De Bruyne,17,be BEL,AM,33-200,90,80,2,7,22,54,4,80,4,1,25.0,3,75.0,49,336,218,8,6,2,1,0,59,5
Mateo Kovačić,8,hr CRO,DM,30-253,75,50,7,16,14,21,0,50,0,0,,0,,30,263,109,1,2,0,0,1,34,0
İlkay Gündoğan,19,de GER,DM,34-082,15,11,1,4,1,6,3,11,1,1,100.0,0,0.0,7,19,3,0,0,0,0,0,8,2
Bernardo Silva,20,pt POR,DM,30-157,90,63,5,16,24,23,4,63,0,0,,0,,37,250,129,6,2,2,1,2,41,3
Joško Gvardiol,24,hr CRO,LB,22-357,90,75,3,19,19,39,4,75,1,1,100.0,0,0.0,47,228,143,3,4,1,0,0,50,2
Nathan Aké,6,nl NED,CB,29-331,90,56,17,32,11,13,0,56,0,0,,0,,37,199,119,1,5,0,0,1,35,0
Manuel Akanji,25,ch SUI,CB,29-179,90,76,10,31,23,22,2,76,0,0,,0,,46,184,83,1,2,0,1,0,48,0
Matheus Nunes,27,pt POR,RB,26-140,90,78,7,24,21,33,3,78,2,1,50.0,1,50.0,47,240,140,3,1,1,2,0,50,5
Stefan Ortega,18,de GER,GK,32-069,90,43,33,43,0,0,0,43,0,0,,0,,31,128,87,0,0,0,0,0,32,0
