Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Erling Haaland,9,no NOR,FW,24-125,90,0,0,0,2,0,0,0,1,0,0,0,0,1,2,2,50.0
Sávio,26,br BRA,"LW,RW",20-227,73,0,0,0,4,0,1,3,0,0,0,0,0,2,0,0,
Kevin De Bruyne,17,be BEL,CM,33-148,17,1,0,0,1,0,0,6,0,1,0,0,0,1,0,0,
Phil Foden,47,eng ENG,"RW,LW,CM",24-179,90,0,0,0,0,1,0,3,0,0,0,0,0,5,0,1,0.0
Bernardo Silva,20,pt POR,"RM,LM",30-105,90,1,0,0,2,1,0,10,1,0,0,0,0,5,0,0,
İlkay Gündoğan,19,de GER,"CM,DM",34-030,90,0,0,0,1,3,0,3,1,1,0,0,0,10,1,1,50.0
Rico Lewis,82,eng ENG,"RM,LM",20-002,73,1,0,0,4,2,0,1,2,1,0,0,0,3,0,0,
Jack Grealish,10,eng ENG,LM,29-074,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Joško Gvardiol,24,hr CRO,LB,22-305,90,0,0,0,1,0,1,4,0,1,0,0,0,3,1,0,100.0
Manuel Akanji,25,ch SUI,CB,29-127,90,1,0,0,3,0,0,0,1,3,0,0,0,6,2,0,100.0
John Stones,5,eng ENG,CB,30-179,45,0,0,0,1,0,0,0,2,0,0,0,0,3,0,0,
Nathan Aké,6,nl NED,CB,29-279,45,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,66.7
Kyle Walker,2,eng ENG,RB,34-179,90,0,0,0,0,2,0,3,0,1,0,0,0,3,1,0,100.0
Ederson,31,br BRA,GK,31-098,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
