Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Erling Haaland,9,no NOR,FW,24-063,90,0,0,0,3,1,0,0,0,0,0,0,0,0,4,2,66.7
Jeremy Doku,11,be BEL,LW,22-118,69,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,
Phil Foden,47,eng ENG,"CM,LM",24-117,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Sávio,26,br BRA,"RW,LW",20-165,77,0,0,0,0,4,0,5,0,0,0,0,0,2,0,0,
Jack Grealish,10,eng ENG,LW,29-012,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
İlkay Gündoğan,19,de GER,"LM,CM,RM",33-334,90,0,0,0,1,0,0,3,0,0,0,0,0,3,0,0,
Rodri,16,es ESP,CM,28-092,20,0,0,0,0,1,0,0,1,0,0,0,0,3,1,0,100.0
Mateo Kovačić,8,hr CRO,"CM,DM",30-139,70,0,0,0,2,0,0,0,0,1,0,0,0,4,0,0,
Bernardo Silva,20,pt POR,"RM,RW",30-043,90,1,0,0,0,1,0,6,0,0,0,0,0,1,1,1,50.0
Joško Gvardiol,24,hr CRO,LB,22-243,90,0,0,0,0,1,0,0,0,2,0,0,0,5,3,4,42.9
Manuel Akanji,25,ch SUI,"CB,RB",29-065,90,0,0,0,0,1,0,3,1,0,0,0,0,5,2,2,50.0
Rúben Dias,3,pt POR,CB,27-131,90,1,0,0,1,1,0,1,1,2,0,0,0,5,4,2,66.7
Kyle Walker,2,eng ENG,RB,34-117,77,0,0,0,0,0,0,3,0,0,0,0,0,4,1,0,100.0
John Stones,5,eng ENG,DM,30-117,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ederson,31,br BRA,GK,31-036,90,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
