Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Joshua Zirkzee,11,nl NED,"FW,AM",23-314,77,31,0,5,23,3,0,31,1,0,0.0,1,100.0,18,48,14,0,0,0,2,0,21,3
Mason Mount,7,eng ENG,AM,26-081,13,6,0,0,1,5,1,6,0,0,,0,,4,32,26,1,1,0,0,0,4,2
Bruno Fernandes,8,pt POR,"CM,AM",30-205,90,105,2,21,45,40,1,105,6,2,33.3,3,50.0,74,294,143,1,1,0,5,1,71,2
Alejandro Garnacho,17,ar ARG,"AM,WB",20-274,90,77,1,3,20,54,8,77,6,2,33.3,4,66.7,67,552,350,12,9,5,2,2,68,22
Casemiro,18,br BRA,CM,33-037,58,56,2,12,32,13,3,56,0,0,,0,,35,127,70,1,0,0,0,0,36,2
Christian Eriksen,14,dk DEN,CM,33-046,32,34,1,5,15,14,0,34,0,0,,0,,25,118,70,1,1,0,0,0,25,1
Manuel Ugarte Ribeiro,25,uy URU,CM,23-355,45,42,0,5,25,12,0,42,0,0,,0,,26,61,34,0,1,0,3,0,25,1
Rasmus Højlund,9,dk DEN,FW,22-056,45,14,0,0,3,11,4,14,2,1,50.0,1,50.0,12,36,19,0,0,0,1,0,12,5
Patrick Dorgu,13,dk DEN,"WB,CB",20-157,90,79,1,11,32,37,7,79,1,1,100.0,0,0.0,56,337,226,6,3,0,2,1,59,13
Diogo Dalot,20,pt POR,WB,26-014,90,95,0,22,40,35,6,95,5,4,80.0,1,20.0,67,348,194,5,2,1,1,0,68,13
Noussair Mazraoui,3,ma MAR,CB,27-138,90,90,8,38,44,9,1,90,3,1,33.3,2,66.7,58,283,189,3,1,0,2,0,54,0
Matthijs de Ligt,4,nl NED,CB,25-232,90,80,7,34,43,3,2,80,0,0,,0,,47,267,179,0,0,0,1,0,53,0
Leny Yoro,15,fr FRA,CB,19-139,87,89,4,29,57,4,0,89,0,0,,0,,67,502,428,7,2,0,1,0,69,1
Harry Maguire,5,eng ENG,FW,32-027,3,7,0,0,0,7,6,7,0,0,,0,,2,6,1,0,0,0,0,0,5,1
André Onana,24,cm CMR,GK,28-364,90,20,17,20,0,0,0,20,0,0,,0,,14,85,68,0,0,0,0,0,12,0
