Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Rasmus Højlund,9,dk DEN,FW,22-061,70,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0
Joshua Zirkzee,11,nl NED,FW,23-319,20,0,0,0,0,0,0,0,1,1,0,0,0,3,0,1,0.0
Alejandro Garnacho,17,ar ARG,AM,20-279,90,0,0,0,0,3,0,1,0,2,0,0,0,7,0,1,0.0
Bruno Fernandes,8,pt POR,"AM,CM",30-210,90,0,0,0,1,2,0,7,2,1,0,0,0,7,1,0,100.0
Manuel Ugarte Ribeiro,25,uy URU,CM,23-360,70,0,0,0,2,0,0,1,1,2,0,0,0,2,1,0,100.0
Mason Mount,7,eng ENG,AM,26-086,20,1,0,0,2,0,0,1,2,0,0,0,0,2,0,0,
Casemiro,18,br BRA,CM,33-042,90,0,0,0,1,1,0,1,2,7,0,0,0,3,1,3,25.0
Patrick Dorgu,13,dk DEN,WB,20-162,90,0,0,0,0,1,1,3,0,0,0,0,0,3,2,0,100.0
Diogo Dalot,20,pt POR,WB,26-019,90,1,0,0,2,1,0,4,1,0,0,0,0,5,1,0,100.0
Leny Yoro,15,fr FRA,CB,19-144,90,1,0,0,1,0,0,0,3,0,0,0,0,3,0,0,
Harry Maguire,5,eng ENG,CB,32-032,57,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,
Victor Lindelöf,2,se SWE,CB,30-263,33,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,50.0
Noussair Mazraoui,3,ma MAR,CB,27-143,90,0,0,0,1,0,0,0,2,3,0,0,0,3,0,0,
André Onana,24,cm CMR,GK,29-004,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
