Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Joshua Zirkzee,11,nl NED,FW,23-214,54,9,9,0,0,0,0,0,0,0,0,0,0,4,0,0
Rasmus Højlund,9,dk DEN,FW,21-322,36,12,11,1,0,1,0,1,0,0,0,0,0,10,0,0
Bruno Fernandes,8,pt POR,"AM,CM",30-105,90,75,66,9,4,2,0,6,0,5,2,0,0,54,0,2
Amad Diallo,16,ci CIV,AM,22-164,90,49,40,9,0,0,0,8,1,8,6,1,0,40,0,1
Kobbie Mainoo,37,eng ENG,CM,19-247,90,55,52,3,2,0,0,1,0,0,0,0,0,43,0,2
Manuel Ugarte Ribeiro,25,uy URU,CM,23-255,54,26,24,2,0,0,1,0,0,0,0,0,0,23,0,0
Alejandro Garnacho,17,ar ARG,AM,20-174,36,21,21,0,0,0,0,2,0,0,0,0,0,16,0,1
Tyrell Malacia,12,nl NED,WB,25-127,45,30,26,4,0,0,0,1,4,0,0,0,0,25,0,2
Leny Yoro,15,fr FRA,CB,19-039,45,25,24,1,1,0,0,0,0,0,0,0,0,22,0,0
Diogo Dalot,20,pt POR,WB,25-279,90,46,35,11,1,0,0,0,10,0,0,0,0,36,0,1
Lisandro Martínez,6,ar ARG,CB,26-339,90,61,59,2,1,0,0,1,1,0,0,0,0,53,0,1
Harry Maguire,5,eng ENG,CB,31-292,90,48,47,1,1,0,0,0,0,0,0,0,0,38,0,1
Noussair Mazraoui,3,ma MAR,"WB,CB",27-038,90,37,33,4,1,0,0,1,3,0,0,0,0,29,0,1
André Onana,24,cm CMR,GK,28-264,90,43,38,5,1,0,1,0,0,0,0,0,0,33,0,0
