Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Joshua Zirkzee,11,nl NED,FW,23-214,54,17,0,0,6,11,5,17,1,1,100.0,0,0.0,13,37,13,1,0,0,4,1,15,4
Rasmus Højlund,9,dk DEN,FW,21-322,36,21,0,0,15,7,2,21,2,0,0.0,2,100.0,10,44,19,1,1,0,2,1,14,3
Bruno Fernandes,8,pt POR,"AM,CM",30-105,90,93,0,10,35,49,4,93,4,0,0.0,4,100.0,57,266,128,3,2,0,2,1,66,5
Amad Diallo,16,ci CIV,AM,22-164,90,64,0,9,22,34,4,64,3,1,33.3,2,66.7,38,190,113,3,3,1,5,3,37,6
Kobbie Mainoo,37,eng ENG,CM,19-247,90,67,0,16,32,20,5,67,8,4,50.0,4,50.0,49,204,100,2,0,2,1,2,50,4
Manuel Ugarte Ribeiro,25,uy URU,CM,23-255,54,32,0,7,16,9,3,32,0,0,,0,,16,51,16,0,1,0,0,0,19,1
Alejandro Garnacho,17,ar ARG,AM,20-174,36,25,0,0,8,17,4,25,3,2,66.7,1,33.3,20,80,42,1,1,1,0,0,23,3
Tyrell Malacia,12,nl NED,WB,25-127,45,33,0,5,19,9,0,33,0,0,,0,,18,79,34,1,0,0,1,1,24,2
Leny Yoro,15,fr FRA,CB,19-039,45,32,4,22,6,4,4,32,0,0,,0,,18,96,33,0,0,0,0,0,22,0
Diogo Dalot,20,pt POR,WB,25-279,90,57,1,13,20,24,3,57,1,0,0.0,1,100.0,24,87,44,0,0,0,2,0,29,3
Lisandro Martínez,6,ar ARG,CB,26-339,90,73,8,41,23,12,4,73,1,1,100.0,0,0.0,45,231,107,1,1,0,0,0,42,0
Harry Maguire,5,eng ENG,CB,31-292,90,49,5,30,17,4,2,49,0,0,,0,,27,138,59,0,0,0,0,1,33,0
Noussair Mazraoui,3,ma MAR,"WB,CB",27-038,90,44,4,15,18,11,1,44,1,0,0.0,1,100.0,22,88,37,0,1,0,0,0,23,0
André Onana,24,cm CMR,GK,28-264,90,44,35,42,2,0,0,44,0,0,,0,,33,159,49,0,0,0,0,0,25,0
