Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Rasmus Højlund,9,dk DEN,FW,21-326,78,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0
Joshua Zirkzee,11,nl NED,FW,23-218,12,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
Bruno Fernandes,8,pt POR,AM,30-109,46,1,1,0,0,1,0,2,0.0,2,1,0,1,0,1,0,0
Amad Diallo,16,ci CIV,AM,22-168,78,3,2,0,3,0,1,2,50.0,1,0,0,0,2,5,0,0
Alejandro Garnacho,17,ar ARG,AM,20-178,12,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,1
Kobbie Mainoo,37,eng ENG,CM,19-251,62,1,0,1,0,0,1,3,33.3,2,1,0,1,0,1,0,0
Casemiro,18,br BRA,CM,32-307,28,1,1,1,0,0,1,1,100.0,0,2,0,2,0,1,0,0
Manuel Ugarte Ribeiro,25,uy URU,CM,23-259,62,4,2,2,2,0,1,1,100.0,0,2,1,1,1,5,1,0
Christian Eriksen,14,dk DEN,CM,32-316,28,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0
Diogo Dalot,20,pt POR,WB,25-283,90,2,1,2,0,0,0,0,,0,0,0,0,1,3,2,0
Noussair Mazraoui,3,ma MAR,"WB,CB",27-042,90,3,2,0,2,1,1,2,50.0,1,0,0,0,2,5,6,0
Lisandro Martínez,6,ar ARG,CB,26-343,90,2,2,1,1,0,1,1,100.0,0,0,0,0,0,2,4,0
Harry Maguire,5,eng ENG,CB,31-296,90,1,1,1,0,0,0,0,,0,1,1,0,4,5,5,0
Leny Yoro,15,fr FRA,CB,19-043,62,3,2,2,1,0,0,1,0.0,1,0,0,0,1,4,4,0
Antony,21,br BRA,WB,24-306,28,2,2,0,2,0,0,0,,0,1,0,1,0,2,0,0
André Onana,24,cm CMR,GK,28-268,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1
