Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Rasmus Højlund,9,dk DEN,FW,21-326,78,8,8,0,0,0,0,0,0,0,0,0,0,5,0,0
Joshua Zirkzee,11,nl NED,FW,23-218,12,4,3,1,0,0,0,0,0,0,0,0,0,3,0,0
Bruno Fernandes,8,pt POR,AM,30-109,46,31,29,2,2,0,0,3,0,0,0,0,0,24,0,2
Amad Diallo,16,ci CIV,AM,22-168,78,28,25,3,0,0,0,2,1,2,2,0,0,21,0,0
Alejandro Garnacho,17,ar ARG,AM,20-178,12,6,6,0,0,0,0,1,0,0,0,0,0,3,0,2
Kobbie Mainoo,37,eng ENG,CM,19-251,62,30,29,1,1,0,0,1,0,0,0,0,0,21,0,2
Casemiro,18,br BRA,CM,32-307,28,24,24,0,0,0,0,2,0,0,0,0,0,16,0,2
Manuel Ugarte Ribeiro,25,uy URU,CM,23-259,62,35,33,2,0,0,0,0,0,0,0,0,0,30,0,1
Christian Eriksen,14,dk DEN,CM,32-316,28,24,19,5,3,0,1,5,0,2,0,2,0,15,0,0
Diogo Dalot,20,pt POR,WB,25-283,90,59,46,13,0,0,0,2,13,0,0,0,0,43,0,3
Noussair Mazraoui,3,ma MAR,"WB,CB",27-042,90,62,59,3,0,0,1,1,3,0,0,0,0,52,0,1
Lisandro Martínez,6,ar ARG,CB,26-343,90,45,45,0,0,0,0,1,0,0,0,0,0,39,0,0
Harry Maguire,5,eng ENG,CB,31-296,90,59,56,2,2,0,0,0,0,0,0,0,0,49,1,0
Leny Yoro,15,fr FRA,CB,19-043,62,37,36,1,1,0,0,0,0,0,0,0,0,32,0,1
Antony,21,br BRA,WB,24-306,28,22,18,4,2,0,0,2,2,0,0,0,0,20,0,0
André Onana,24,cm CMR,GK,28-268,90,27,17,10,4,0,0,0,0,0,0,0,0,18,0,0
