Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Rasmus Højlund,9,dk DEN,FW,22-012,90,21,1,2,8,11,5,21,0,0,,0,,11,51,25,1,0,1,3,2,14,5
Alejandro Garnacho,17,ar ARG,AM,20-230,90,37,1,9,5,23,10,37,1,0,0.0,1,100.0,25,189,105,3,2,3,5,2,22,9
Joshua Zirkzee,11,nl NED,AM,23-270,90,43,2,10,23,11,2,43,4,2,50.0,2,50.0,23,91,54,2,1,0,3,3,25,2
Casemiro,18,br BRA,CM,32-359,89,71,6,17,33,21,5,71,0,0,,0,,31,63,28,0,0,0,2,1,40,3
Chidozie Obi-Martin,56,dk DEN,CM,17-079,1,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Bruno Fernandes,8,pt POR,CM,30-161,90,100,4,34,42,24,0,100,0,0,,0,,48,178,72,1,1,0,1,1,61,2
Patrick Dorgu,13,dk DEN,WB,20-113,90,52,1,16,16,20,2,52,0,0,,0,,31,186,140,4,1,1,1,0,33,8
Diogo Dalot,20,pt POR,WB,25-335,90,71,5,20,26,25,3,71,0,0,,0,,45,152,82,2,0,0,0,1,48,10
Matthijs de Ligt,4,nl NED,CB,25-188,90,66,16,36,23,7,3,66,0,0,,0,,34,176,94,2,1,0,0,0,37,0
Harry Maguire,5,eng ENG,CB,31-348,90,44,11,20,21,4,2,44,0,0,,0,,25,143,82,1,1,0,1,0,31,0
Noussair Mazraoui,3,ma MAR,CB,27-094,90,63,10,31,25,7,0,63,1,0,0.0,0,0.0,33,80,29,0,0,0,0,0,39,0
André Onana,24,cm CMR,GK,28-320,90,37,32,37,0,0,0,37,0,0,,0,,23,126,85,0,0,0,0,0,16,0
