Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Joshua Zirkzee,11,nl NED,FW,23-242,83,29,1,2,14,13,5,29,1,0,0.0,1,100.0,15,64,14,0,1,0,1,3,17,4
Rasmus Højlund,9,dk DEN,FW,21-350,7,2,0,0,0,2,0,2,0,0,,0,,2,5,0,0,0,0,1,0,2,0
Bruno Fernandes,8,pt POR,"AM,CM",30-133,90,75,1,4,47,26,3,74,2,1,50.0,0,0.0,49,242,177,3,4,0,1,0,56,3
Amad Diallo,16,ci CIV,AM,22-192,90,48,2,4,16,28,8,48,4,1,25.0,2,50.0,29,200,131,6,0,3,4,1,31,9
Kobbie Mainoo,37,eng ENG,CM,19-275,63,42,0,7,27,8,1,42,1,0,0.0,1,100.0,32,148,54,1,0,0,1,2,34,0
Alejandro Garnacho,17,ar ARG,AM,20-202,27,12,0,0,5,7,3,12,1,0,0.0,1,100.0,8,77,19,1,1,1,2,0,10,4
Manuel Ugarte Ribeiro,25,uy URU,CM,23-283,63,37,0,10,25,2,0,37,0,0,,0,,21,72,21,0,0,0,1,2,21,0
Toby Collyer,43,eng ENG,CM,21-016,27,22,0,4,13,5,0,22,0,0,,0,,8,29,10,0,0,0,0,0,10,0
Diogo Dalot,20,pt POR,WB,25-307,90,65,5,19,22,25,3,65,4,2,50.0,2,50.0,39,188,101,4,3,2,0,4,41,9
Noussair Mazraoui,3,ma MAR,WB,27-066,83,44,2,12,25,8,2,44,0,0,,0,,21,118,58,1,2,0,1,2,24,4
Antony,21,br BRA,WB,24-330,7,4,0,1,1,2,1,4,0,0,,0,,3,13,6,0,0,0,0,0,2,2
Leny Yoro,15,fr FRA,CB,19-067,90,65,4,20,40,5,1,65,0,0,,0,,45,196,82,1,1,0,1,0,46,0
Harry Maguire,5,eng ENG,CB,31-320,90,74,6,33,39,5,1,74,0,0,,0,,47,350,160,1,0,1,1,1,47,0
Matthijs de Ligt,4,nl NED,CB,25-160,90,61,3,19,38,4,1,61,0,0,,0,,41,155,96,1,0,0,0,0,42,0
André Onana,24,cm CMR,GK,28-292,90,29,18,29,0,0,0,29,0,0,,0,,17,74,52,0,0,0,1,0,16,0
