Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Rasmus Højlund,9,dk DEN,FW,21-357,57,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Joshua Zirkzee,11,nl NED,FW,23-249,33,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Alejandro Garnacho,17,ar ARG,AM,20-209,80,0,0,0,0,0,0,0,,0,3,0,3,0,0,0,0
Kobbie Mainoo,37,eng ENG,CM,19-282,10,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Amad Diallo,16,ci CIV,AM,22-199,90,1,1,0,1,0,0,0,,0,2,0,2,0,1,0,0
Bruno Fernandes,8,pt POR,"CM,AM",30-140,90,1,0,0,1,0,1,2,50.0,1,2,0,2,1,2,1,0
Manuel Ugarte Ribeiro,25,uy URU,CM,23-290,75,5,3,3,1,1,1,2,50.0,1,0,0,0,1,6,0,0
Toby Collyer,43,eng ENG,CM,21-023,15,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0
Noussair Mazraoui,3,ma MAR,WB,27-073,80,1,0,0,1,0,0,0,,0,1,0,1,0,1,1,0
Tyrell Malacia,12,nl NED,WB,25-162,10,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0
Diogo Dalot,20,pt POR,WB,25-314,90,2,1,1,1,0,2,3,66.7,1,0,0,0,1,3,2,0
Lisandro Martínez,6,ar ARG,CB,27-008,90,3,2,2,1,0,2,3,66.7,1,0,0,0,0,3,2,0
Harry Maguire,5,eng ENG,CB,31-327,90,3,1,2,1,0,2,2,100.0,0,1,0,1,2,5,6,0
Matthijs de Ligt,4,nl NED,CB,25-167,57,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,0
Leny Yoro,15,fr FRA,CB,19-074,33,1,0,0,1,0,1,1,100.0,0,0,0,0,2,3,3,0
André Onana,24,cm CMR,GK,28-299,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
