Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Joshua Zirkzee,11,nl NED,FW,23-291,75,20,2,6,9,5,1,20,1,0,0.0,1,100.0,13,24,5,0,0,0,5,2,12,1
Rasmus Højlund,9,dk DEN,FW,22-033,15,7,0,1,2,4,2,7,0,0,,0,,4,14,0,0,0,0,0,1,4,2
Christian Eriksen,14,dk DEN,AM,33-023,75,33,2,11,16,6,0,33,0,0,,0,,19,65,27,0,0,0,2,1,23,1
Toby Collyer,43,eng ENG,AM,21-065,15,7,1,3,1,3,1,7,0,0,,0,,4,7,3,0,0,0,1,0,3,0
Alejandro Garnacho,17,ar ARG,AM,20-251,90,30,1,9,6,16,5,30,2,1,50.0,1,50.0,20,285,190,8,2,2,0,1,17,3
Casemiro,18,br BRA,CM,33-014,90,36,5,22,11,4,0,36,0,0,,0,,13,42,9,0,1,0,0,0,10,0
Bruno Fernandes,8,pt POR,CM,30-182,90,49,2,14,21,17,2,49,2,0,0.0,2,100.0,31,172,98,2,0,0,0,1,31,1
Diogo Dalot,20,pt POR,WB,25-356,90,40,6,21,7,12,0,40,0,0,,0,,21,135,88,3,2,0,1,1,17,3
Noussair Mazraoui,3,ma MAR,WB,27-115,90,35,5,14,7,15,2,35,1,1,100.0,0,0.0,18,113,69,3,1,0,0,1,16,3
Leny Yoro,15,fr FRA,CB,19-116,45,29,4,20,8,1,0,29,0,0,,0,,22,114,64,0,1,0,0,0,22,0
Ayden Heaven,26,eng ENG,CB,18-168,45,17,6,8,7,2,1,17,0,0,,0,,6,19,3,0,0,0,2,1,5,1
Victor Lindelöf,2,se SWE,CB,30-235,90,34,9,23,11,0,0,34,0,0,,0,,19,104,66,1,0,0,0,0,20,0
Matthijs de Ligt,4,nl NED,CB,25-209,90,36,6,20,13,4,2,36,0,0,,0,,20,87,44,0,0,0,0,0,21,1
André Onana,24,cm CMR,GK,28-341,90,47,37,47,0,0,0,47,0,0,,0,,26,156,67,0,0,0,0,0,17,0
