Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Alexander Isak,14,se SWE,FW,25-207,71,13,0,0,5,8,5,13,0,0,,0,,6,10,2,0,0,0,1,0,9,3
Callum Wilson,9,eng ENG,FW,33-048,19,3,0,0,3,0,0,3,0,0,,0,,1,0,0,0,0,0,0,0,2,0
Harvey Barnes,11,eng ENG,"LW,RW",27-128,90,39,1,3,19,17,3,39,3,1,33.3,2,66.7,22,142,95,3,2,2,1,1,32,10
Jacob Murphy,23,eng ENG,RW,30-051,61,22,0,1,8,13,3,22,0,0,,0,,8,49,33,1,1,1,1,0,15,4
Anthony Gordon,10,eng ENG,LW,24-051,29,16,0,4,9,4,0,16,2,0,0.0,2,100.0,11,119,62,2,2,0,0,1,13,1
Joelinton,7,br BRA,LM,28-245,61,32,0,2,21,9,1,32,0,0,,0,,12,66,53,2,1,0,2,0,23,3
Joe Willock,28,eng ENG,LM,25-239,29,19,2,6,11,3,0,19,0,0,,0,,6,26,18,0,0,0,0,0,9,0
Sandro Tonali,8,it ITA,CM,24-343,90,81,2,17,54,11,1,81,1,1,100.0,0,0.0,35,196,95,0,0,0,0,0,60,0
Bruno Guimarães,39,br BRA,RM,27-151,71,37,0,2,26,9,1,37,0,0,,0,,25,167,65,1,0,0,1,1,34,2
Sean Longstaff,36,eng ENG,RM,27-168,19,19,3,10,7,2,0,19,1,0,0.0,1,100.0,10,33,12,0,0,0,1,0,12,2
Valentino Livramento,21,eng ENG,LB,22-155,90,69,2,15,41,13,0,69,1,0,0.0,1,100.0,35,179,81,1,1,0,1,0,47,2
Dan Burn,33,eng ENG,CB,32-342,90,92,6,48,41,3,1,92,0,0,,0,,56,219,76,0,0,0,0,0,72,1
Fabian Schär,5,ch SUI,CB,33-117,90,100,7,53,44,4,1,100,1,1,100.0,0,0.0,70,355,201,1,0,0,0,0,80,0
Kieran Trippier,2,eng ENG,RB,34-209,78,77,1,18,38,21,1,77,0,0,,0,,28,131,70,2,2,0,2,1,43,5
Emil Krafth,17,se SWE,RB,30-257,12,15,4,10,3,2,0,15,0,0,,0,,6,34,11,0,0,0,0,1,8,0
Nick Pope,22,eng ENG,GK,32-362,90,41,29,41,0,0,0,41,0,0,,0,,24,162,111,0,0,0,0,0,17,0
