Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Alexander Isak,14,se SWE,FW,25-193,65,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0
Callum Wilson,9,eng ENG,FW,33-034,25,1,1,0,0,1,0,0,,0,0,0,0,0,1,1,0
Harvey Barnes,11,eng ENG,"LW,RW",27-114,89,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0
Lewis Miley,67,eng ENG,RW,18-336,1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Jacob Murphy,23,eng ENG,RW,30-037,65,1,1,0,1,0,1,3,33.3,2,2,0,2,0,1,1,0
Joe Willock,28,eng ENG,LW,25-225,25,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Joelinton,7,br BRA,LM,28-231,90,3,3,1,1,1,2,2,100.0,0,0,0,0,1,4,3,0
Sandro Tonali,8,it ITA,CM,24-329,90,2,2,1,1,0,2,3,66.7,1,2,1,1,1,3,1,0
Bruno Guimarães,39,br BRA,RM,27-137,90,3,1,1,1,1,1,5,20.0,4,2,1,1,0,3,2,0
Valentino Livramento,21,eng ENG,LB,22-141,90,1,1,1,0,0,1,2,50.0,1,2,1,1,0,1,5,0
Dan Burn,33,eng ENG,CB,32-328,90,1,1,1,0,0,0,0,,0,3,2,1,1,2,8,0
Fabian Schär,5,ch SUI,CB,33-103,90,1,1,1,0,0,1,2,50.0,1,1,1,0,1,2,4,0
Kieran Trippier,2,eng ENG,RB,34-195,88,8,7,3,3,2,7,7,100.0,0,1,0,1,1,9,3,0
Emil Krafth,17,se SWE,RB,30-243,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Nick Pope,22,eng ENG,GK,32-348,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
