Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Alexander Isak,14,se SWE,FW,25-198,71,15,14,1,0,0,0,1,0,0,0,0,0,10,0,0
Callum Wilson,9,eng ENG,FW,33-039,19,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Harvey Barnes,11,eng ENG,"LW,RW",27-119,90,29,26,3,2,0,0,1,0,1,0,0,0,22,0,1
Jacob Murphy,23,eng ENG,RW,30-042,71,21,19,1,0,0,0,1,1,0,0,0,0,14,1,1
William Osula,18,dk DEN,LW,21-246,19,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0
Joelinton,7,br BRA,LM,28-236,64,28,28,0,0,0,0,0,0,0,0,0,0,24,0,1
Lewis Miley,67,eng ENG,LM,18-341,26,9,9,0,0,0,0,0,0,0,0,0,0,6,0,0
Sandro Tonali,8,it ITA,CM,24-334,90,40,40,0,0,0,0,0,0,0,0,0,0,35,0,0
Bruno Guimarães,39,br BRA,RM,27-142,64,27,27,0,0,0,0,1,0,0,0,0,0,20,0,0
Sean Longstaff,36,eng ENG,RM,27-159,26,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0
Valentino Livramento,21,eng ENG,LB,22-146,90,60,56,3,0,0,1,1,3,0,0,0,0,51,1,1
Dan Burn,33,eng ENG,CB,32-333,90,51,51,0,0,0,0,0,0,0,0,0,0,46,0,0
Fabian Schär,5,ch SUI,CB,33-108,90,63,58,5,5,0,0,0,0,0,0,0,0,54,0,0
Kieran Trippier,2,eng ENG,RB,34-200,86,55,47,8,1,0,0,1,6,1,0,0,1,41,0,0
Emil Krafth,17,se SWE,RB,30-248,4,9,5,4,0,0,0,1,4,0,0,0,0,5,0,0
Nick Pope,22,eng ENG,GK,32-353,90,26,16,10,2,0,0,0,0,0,0,0,0,19,0,0
