Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Alexander Isak,14,se SWE,"FW,LW",25-074,90,42,1,1,15,26,4,42,9,5,55.6,4,44.4,29,243,148,6,4,3,3,1,29,6
Anthony Gordon,10,eng ENG,LW,23-284,86,49,0,3,17,30,7,49,9,3,33.3,2,22.2,29,270,137,6,3,4,1,1,32,7
Callum Wilson,9,eng ENG,FW,32-281,4,1,0,0,0,1,0,1,1,0,0.0,0,0.0,1,3,0,0,0,0,0,0,0,0
Jacob Murphy,23,eng ENG,RW,29-284,73,27,0,4,10,14,1,27,1,0,0.0,1,100.0,15,94,32,3,1,1,2,2,17,4
Harvey Barnes,11,eng ENG,RW,26-361,17,7,0,2,4,1,0,7,0,0,,0,,5,17,8,0,0,0,0,1,4,0
Joelinton,7,br BRA,LM,28-112,86,45,0,6,28,11,2,45,2,1,50.0,0,0.0,27,168,96,2,1,0,1,1,26,2
Joe Willock,28,eng ENG,LM,25-106,4,3,0,2,1,0,0,3,0,0,,0,,0,0,0,0,0,0,1,0,0,0
Bruno Guimarães,39,br BRA,CM,27-018,90,39,0,8,19,12,1,39,4,0,0.0,2,50.0,27,106,46,0,1,0,1,3,30,1
Sandro Tonali,8,it ITA,RM,24-210,86,49,1,9,30,10,0,49,1,1,100.0,0,0.0,22,103,23,0,0,0,0,1,33,0
Sean Longstaff,36,eng ENG,RM,27-035,4,3,2,2,1,0,0,3,0,0,,0,,1,2,1,0,0,0,0,0,0,0
Lewis Hall,20,eng ENG,LB,20-087,90,63,5,16,32,15,3,63,1,0,0.0,0,0.0,22,124,76,1,0,0,0,1,24,2
Dan Burn,33,eng ENG,CB,32-209,90,42,6,23,17,2,0,42,0,0,,0,,21,81,35,0,0,0,0,0,25,0
Fabian Schär,5,ch SUI,CB,32-350,90,58,4,27,30,2,1,58,2,1,50.0,0,0.0,37,180,115,1,1,0,0,0,45,0
Valentino Livramento,21,eng ENG,RB,22-022,90,54,6,17,32,5,0,54,1,1,100.0,0,0.0,29,138,45,1,0,0,0,3,32,1
Nick Pope,22,eng ENG,GK,32-229,90,28,25,28,0,0,0,28,0,0,,0,,17,75,52,0,0,0,0,0,6,0
