Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Alexander Isak,14,se SWE,FW,25-077,90,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0
Harvey Barnes,11,eng ENG,"LW,RW",26-364,72,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1
Miguel Almirón,24,py PAR,RW,30-301,18,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0
Jacob Murphy,23,eng ENG,RW,29-287,59,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,1,0
Anthony Gordon,10,eng ENG,LW,23-287,31,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Joelinton,7,br BRA,LM,28-115,59,1,0,1,0,0,0,0,,0,2,0,2,1,2,1,0
Sandro Tonali,8,it ITA,LM,24-213,31,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0
Bruno Guimarães,39,br BRA,CM,27-021,90,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0
Sean Longstaff,36,eng ENG,RM,27-038,72,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
Callum Wilson,9,eng ENG,RM,32-284,18,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Lewis Hall,20,eng ENG,LB,20-090,82,4,2,2,0,2,3,5,60.0,2,0,0,0,1,5,9,0
Kieran Trippier,2,eng ENG,RB,34-079,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Dan Burn,33,eng ENG,CB,32-212,90,2,1,1,1,0,2,4,50.0,2,2,1,1,0,2,5,0
Fabian Schär,5,ch SUI,CB,32-353,90,0,0,0,0,0,0,1,0.0,1,2,1,1,1,1,3,0
Valentino Livramento,21,eng ENG,"RB,LB",22-025,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,3,0
Nick Pope,22,eng ENG,GK,32-232,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,1
