Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Alexander Isak,14,se SWE,FW,25-077,90,39,33,6,0,0,1,2,2,0,0,0,0,29,0,0
Harvey Barnes,11,eng ENG,"LW,RW",26-364,72,23,23,0,0,0,0,1,0,0,0,0,0,17,0,1
Miguel Almirón,24,py PAR,RW,30-301,18,9,9,0,0,0,0,0,0,0,0,0,0,7,0,1
Jacob Murphy,23,eng ENG,RW,29-287,59,39,35,4,0,0,1,5,2,2,0,0,0,32,0,4
Anthony Gordon,10,eng ENG,LW,23-287,31,13,12,1,0,0,0,4,0,1,1,0,0,7,0,0
Joelinton,7,br BRA,LM,28-115,59,24,23,1,1,0,0,0,0,0,0,0,0,22,0,0
Sandro Tonali,8,it ITA,LM,24-213,31,17,17,0,0,0,0,0,0,0,0,0,0,15,0,0
Bruno Guimarães,39,br BRA,CM,27-021,90,56,52,4,4,0,0,1,0,0,0,0,0,44,0,1
Sean Longstaff,36,eng ENG,RM,27-038,72,35,35,0,0,0,0,1,0,0,0,0,0,33,0,0
Callum Wilson,9,eng ENG,RM,32-284,18,3,1,1,0,0,0,0,0,0,0,0,0,2,1,0
Lewis Hall,20,eng ENG,LB,20-090,82,67,56,10,1,0,0,7,8,1,1,0,0,51,1,0
Kieran Trippier,2,eng ENG,RB,34-079,8,20,16,4,2,0,0,3,2,0,0,0,0,14,0,0
Dan Burn,33,eng ENG,CB,32-212,90,44,43,1,1,0,0,0,0,0,0,0,0,42,0,1
Fabian Schär,5,ch SUI,CB,32-353,90,61,59,2,2,0,0,0,0,0,0,0,0,53,0,0
Valentino Livramento,21,eng ENG,"RB,LB",22-025,90,75,64,11,1,0,0,0,10,0,0,0,0,69,0,0
Nick Pope,22,eng ENG,GK,32-232,90,30,20,10,1,0,0,0,0,0,0,0,0,25,0,0
