Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Alexander Isak,14,se SWE,FW,25-133,90,2,0,0,0,2,1,1,100.0,0,1,0,1,0,2,0,0
Anthony Gordon,10,eng ENG,LW,23-343,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Jacob Murphy,23,eng ENG,RW,29-343,86,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,2,0
William Osula,18,dk DEN,RW,21-181,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Joelinton,7,br BRA,LM,28-171,63,0,0,0,0,0,0,3,0.0,3,1,0,1,0,0,0,0
Joe Willock,28,eng ENG,LM,25-165,27,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Sandro Tonali,8,it ITA,CM,24-269,90,1,0,1,0,0,0,2,0.0,2,1,0,1,3,4,0,0
Bruno Guimarães,39,br BRA,RM,27-077,86,1,0,1,0,0,0,0,,0,1,0,1,0,1,6,0
Lewis Miley,67,eng ENG,RM,18-276,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Lewis Hall,20,eng ENG,LB,20-146,86,1,1,1,0,0,0,1,0.0,1,4,2,2,0,1,3,0
Lloyd Kelly,25,eng ENG,LB,26-118,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Dan Burn,33,eng ENG,CB,32-268,90,1,0,0,0,1,0,1,0.0,1,2,2,0,0,1,7,0
Fabian Schär,5,ch SUI,CB,33-043,90,0,0,0,0,0,0,0,,0,2,2,0,0,0,7,0
Valentino Livramento,21,eng ENG,RB,22-081,63,1,1,1,0,0,1,1,100.0,0,1,1,0,0,1,2,0
Kieran Trippier,2,eng ENG,RB,34-135,27,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Martin Dúbravka,1,sk SVK,GK,36-017,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
