Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Alexander Isak,14,se SWE,FW,25-133,90,18,15,3,0,0,0,0,0,0,0,0,0,15,0,0
Anthony Gordon,10,eng ENG,LW,23-343,90,39,31,7,3,0,0,6,3,1,0,0,0,31,1,1
Jacob Murphy,23,eng ENG,RW,29-343,86,28,28,0,0,0,0,2,0,0,0,0,0,20,0,1
William Osula,18,dk DEN,RW,21-181,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joelinton,7,br BRA,LM,28-171,63,31,31,0,0,0,0,0,0,0,0,0,0,26,0,3
Joe Willock,28,eng ENG,LM,25-165,27,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0
Sandro Tonali,8,it ITA,CM,24-269,90,54,51,1,1,0,1,2,0,0,0,0,0,41,2,4
Bruno Guimarães,39,br BRA,RM,27-077,86,33,30,3,2,1,2,0,1,0,0,0,0,30,0,1
Lewis Miley,67,eng ENG,RM,18-276,4,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
Lewis Hall,20,eng ENG,LB,20-146,86,45,33,12,3,0,0,4,7,2,2,0,0,38,0,1
Lloyd Kelly,25,eng ENG,LB,26-118,4,11,9,2,0,0,0,0,2,0,0,0,0,8,0,1
Dan Burn,33,eng ENG,CB,32-268,90,44,43,1,1,0,0,1,0,0,0,0,0,37,0,1
Fabian Schär,5,ch SUI,CB,33-043,90,54,52,2,2,0,3,2,0,0,0,0,0,40,0,0
Valentino Livramento,21,eng ENG,RB,22-081,63,22,18,4,0,0,0,0,4,0,0,0,0,20,0,0
Kieran Trippier,2,eng ENG,RB,34-135,27,32,28,4,0,0,0,0,4,0,0,0,0,27,0,0
Martin Dúbravka,1,sk SVK,GK,36-017,90,35,21,13,3,0,0,0,0,0,0,0,0,25,1,0
