Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Alexander Isak,14,se SWE,"FW,LW",25-147,89,0,0,0,0,0,0,0,1,0,0,0,0,4,1,2,33.3
Emil Krafth,17,se SWE,CB,30-197,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Anthony Gordon,10,eng ENG,LW,23-357,72,0,0,0,0,1,2,5,0,1,0,0,0,0,0,0,
Callum Wilson,9,eng ENG,FW,32-354,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Jacob Murphy,23,eng ENG,"RW,AM",29-357,90,0,0,0,0,0,0,3,0,1,0,0,0,4,0,0,
Joe Willock,28,eng ENG,LM,25-179,45,0,0,0,1,0,0,1,1,1,0,0,0,2,0,0,
Lewis Miley,67,eng ENG,"RM,CM",18-290,45,0,0,0,0,1,0,0,0,2,0,0,0,3,1,0,100.0
Sandro Tonali,8,it ITA,CM,24-283,90,0,0,0,3,1,0,0,0,1,0,0,0,2,0,0,
Bruno Guimarães,39,br BRA,"RM,LM",27-091,71,1,0,0,1,1,1,0,0,3,0,0,0,5,1,0,100.0
Sean Longstaff,36,eng ENG,"LM,AM",27-108,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Lewis Hall,20,eng ENG,"LB,WB",20-160,90,0,0,0,1,1,0,3,0,3,0,0,0,3,0,0,
Dan Burn,33,eng ENG,CB,32-282,90,0,0,0,1,0,0,0,1,1,0,0,0,1,1,2,33.3
Fabian Schär,5,ch SUI,CB,33-057,90,0,0,0,2,0,0,0,2,1,0,0,0,1,0,3,0.0
Kieran Trippier,2,eng ENG,RB,34-149,45,0,0,0,2,0,0,2,1,0,0,0,0,1,0,0,
Valentino Livramento,21,eng ENG,"RB,WB",22-095,45,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0.0
Martin Dúbravka,1,sk SVK,GK,36-031,90,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,100.0
