Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Alexander Isak,14,se SWE,FW,25-155,86,34,1,3,14,17,7,33,3,1,33.3,2,66.7,22,98,25,1,1,2,1,5,26,9
Callum Wilson,9,eng ENG,FW,32-362,4,5,0,0,4,3,1,5,1,0,0.0,1,100.0,4,64,30,1,2,1,1,1,1,0
Anthony Gordon,10,eng ENG,LW,23-365,90,57,1,5,27,25,5,57,3,1,33.3,2,66.7,32,191,84,3,0,2,0,1,46,3
Jacob Murphy,23,eng ENG,RW,29-365,69,48,0,10,17,21,5,48,3,3,100.0,0,0.0,16,112,57,3,1,1,0,0,33,9
Harvey Barnes,11,eng ENG,RW,27-076,21,6,1,2,1,3,1,6,1,0,0.0,1,100.0,2,27,24,1,0,0,0,0,4,2
Joe Willock,28,eng ENG,LM,25-187,69,35,1,8,15,13,1,35,6,2,33.3,1,16.7,18,213,108,5,3,0,0,4,20,6
Sandro Tonali,8,it ITA,CM,24-291,21,14,1,6,8,1,0,14,2,2,100.0,0,0.0,4,25,3,0,0,0,0,3,4,0
Bruno Guimarães,39,br BRA,"CM,LM",27-099,90,58,1,12,35,11,2,58,1,0,0.0,1,100.0,25,113,43,1,0,1,4,1,36,2
Lewis Miley,67,eng ENG,RM,18-298,90,63,3,15,32,16,4,63,1,0,0.0,1,100.0,24,124,45,1,0,0,2,0,45,1
Lewis Hall,20,eng ENG,LB,20-168,90,87,6,25,42,21,2,87,4,3,75.0,0,0.0,32,160,68,2,0,2,1,1,50,5
Dan Burn,33,eng ENG,CB,32-290,90,84,9,41,41,2,1,84,1,1,100.0,0,0.0,50,394,299,2,0,0,1,0,58,0
Fabian Schär,5,ch SUI,CB,33-065,90,63,7,36,26,2,2,63,1,0,0.0,1,100.0,31,146,94,0,0,0,0,0,39,0
Valentino Livramento,21,eng ENG,RB,22-103,90,56,3,24,26,6,1,56,3,0,0.0,2,66.7,20,75,29,1,0,0,2,0,28,5
Nick Pope,22,eng ENG,GK,32-310,90,35,27,34,1,0,0,35,0,0,,0,,16,101,72,0,0,0,0,0,15,0
