Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Alexander Isak,14,se SWE,"FW,LW",25-119,90,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,33.3
Anthony Gordon,10,eng ENG,"LW,RW",23-329,90,0,0,0,0,3,1,10,0,1,0,0,0,3,0,1,0.0
Jacob Murphy,23,eng ENG,RW,29-329,65,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,
Joe Willock,28,eng ENG,"LW,LM",25-151,25,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
Joelinton,7,br BRA,"LM,RM",28-157,90,1,0,0,2,2,0,0,1,2,0,0,0,8,1,3,25.0
Sandro Tonali,8,it ITA,CM,24-255,90,0,0,0,2,2,0,2,1,1,0,0,0,8,1,1,50.0
Bruno Guimarães,39,br BRA,RM,27-063,89,0,0,0,1,7,0,1,0,1,0,0,0,5,2,0,100.0
William Osula,18,dk DEN,FW,21-167,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lewis Hall,20,eng ENG,LB,20-132,65,0,0,0,0,0,0,5,0,2,0,0,0,0,2,1,66.7
Kieran Trippier,2,eng ENG,RB,34-121,25,0,0,0,1,0,0,2,1,0,0,0,0,0,0,1,0.0
Dan Burn,33,eng ENG,CB,32-254,90,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,57.1
Sven Botman,4,nl NED,CB,25-006,45,0,0,0,1,1,0,0,0,0,0,0,0,2,2,0,100.0
Fabian Schär,5,ch SUI,CB,33-029,45,0,0,0,0,0,0,1,0,1,0,0,0,2,2,1,66.7
Valentino Livramento,21,eng ENG,"RB,LB",22-067,90,0,0,0,0,2,0,3,0,0,0,0,0,3,1,2,33.3
Martin Dúbravka,1,sk SVK,GK,36-003,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
